2026-09-17T00:07:20Z INFO Logging to /tmp/logs/update_2026-09-17T00-07-20Z.log.
2026-09-17T00:07:20Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-17T00:07:21Z INFO Processing 361 items (47669 already recorded).
2026-09-17T00:07:23Z INFO [1/361] 018973b6-23dc-4a53-8db8-44856b772844: Sackin index -0.1938; 2.1 s; peak memory 100 MiB.
2026-09-17T00:07:24Z INFO [2/361] 018994b4-0bd4-437f-9c71-0b9d1d939f5f: Sackin index -0.1349; 1.0 s; peak memory 100 MiB.
2026-09-17T00:09:08Z INFO [3/361] 018a6d2e-7f61-484f-b6d5-48e40722dbd8: Sackin index -0.0260; 104.8 s; peak memory 255 MiB.
2026-09-17T00:09:09Z INFO [4/361] 018af6a9-1e58-4192-acca-db6145be1283: Sackin index -0.1248; 0.9 s; peak memory 255 MiB.
2026-09-17T00:09:11Z INFO [5/361] 018bedf4-f044-4e26-ae49-b5db7d74c3e7: Sackin index -0.0681; 1.4 s; peak memory 256 MiB.
2026-09-17T00:09:12Z INFO [6/361] 018bef29-6273-45f1-a641-4c07a508bfc7: Sackin index -0.0745; 1.0 s; peak memory 256 MiB.
2026-09-17T00:09:16Z INFO [7/361] 018c102d-1a21-4b98-80bd-2f26888768a1: Sackin index -0.0251; 4.0 s; peak memory 256 MiB.
2026-09-17T00:09:17Z INFO [8/361] 018d2e07-5483-4e5f-bac9-c634ba67c007: Sackin index -0.1349; 1.0 s; peak memory 256 MiB.
2026-09-17T00:09:18Z INFO [9/361] 018db095-a0bb-47a4-952a-ec6ac50c46f4: Sackin index -0.0702; 1.0 s; peak memory 256 MiB.
2026-09-17T00:09:19Z INFO [10/361] 018e64d4-ec2e-4818-9a48-076f7143570e: Sackin index -0.0709; 0.8 s; peak memory 256 MiB.
2026-09-17T00:09:21Z INFO [11/361] 018f9274-1cf6-4abc-a1a0-cf219ad95b7d: Sackin index -0.0660; 2.3 s; peak memory 256 MiB.
2026-09-17T00:09:23Z INFO [12/361] 0192becd-daef-43b6-86de-fe0d3746a06b: Sackin index -0.0704; 2.2 s; peak memory 256 MiB.
2026-09-17T00:09:31Z INFO [13/361] 0193617c-ea14-4be8-a0a5-f3afe5bf0c7c: Sackin index -0.0288; 7.4 s; peak memory 256 MiB.
2026-09-17T00:09:31Z INFO [14/361] 01939228-e558-47f4-9d4a-f11198ef602a: Sackin index -0.1349; 0.9 s; peak memory 256 MiB.
2026-09-17T00:09:33Z INFO [15/361] 0193a55b-ae7d-4286-b1d8-5b01d2f09934: Sackin index -0.0728; 1.6 s; peak memory 256 MiB.
2026-09-17T00:09:34Z INFO [16/361] 01945961-5cc0-49c6-9784-77e1e9028668: Sackin index -0.1349; 1.0 s; peak memory 257 MiB.
2026-09-17T00:09:35Z INFO [17/361] 01947fdb-4099-485a-861b-aa1bb9c3cd1e: Sackin index -0.0569; 1.3 s; peak memory 257 MiB.
2026-09-17T00:09:36Z INFO [18/361] 0194bb9e-491e-47f8-a40f-0b5215aae072: Sackin index -0.1349; 0.8 s; peak memory 257 MiB.
2026-09-17T00:09:37Z INFO [19/361] 01958900-163b-4d62-842a-707822d1007e: Sackin index -0.1349; 0.8 s; peak memory 257 MiB.
2026-09-17T00:09:39Z INFO [20/361] 0195d19a-7945-4663-8535-0ca4fbeddb4c: Sackin index -0.1938; 1.6 s; peak memory 257 MiB.
2026-09-17T00:09:40Z INFO [21/361] 01964398-131f-4b08-8c5b-addd326a090b: Sackin index -0.0380; 1.2 s; peak memory 257 MiB.
2026-09-17T00:09:41Z INFO [22/361] 01964782-2208-4457-98c9-00e592d80173: Sackin index -0.1349; 1.0 s; peak memory 257 MiB.
2026-09-17T00:09:48Z INFO [23/361] 0196a80d-d4ae-4da7-a3d5-e0e241c23c4d: Sackin index -0.0413; 7.0 s; peak memory 257 MiB.
2026-09-17T00:09:59Z INFO [24/361] 0196c315-ee01-4c53-b23c-95816b98fbf9: Sackin index -0.0136; 10.9 s; peak memory 258 MiB.
2026-09-17T00:10:04Z INFO [25/361] 0196c777-d343-4e0e-a349-af071769b7be: Sackin index -0.0438; 5.4 s; peak memory 258 MiB.
2026-09-17T00:10:05Z INFO [26/361] 01971bc4-1a70-459b-a056-60f76d4b3186: Sackin index -0.0702; 1.0 s; peak memory 258 MiB.
2026-09-17T00:10:06Z INFO [27/361] 01976b17-2dd3-415c-aca9-958f920a5007: Sackin index -0.1658; 0.7 s; peak memory 258 MiB.
2026-09-17T00:10:07Z INFO [28/361] 0197b3cd-827d-42aa-9644-7ef8c39f4503: Sackin index -0.0380; 1.5 s; peak memory 258 MiB.
2026-09-17T00:10:15Z INFO [29/361] 019859be-be94-4d9e-81f0-50314734ad07: Sackin index -0.0211; 7.5 s; peak memory 258 MiB.
2026-09-17T00:11:09Z INFO [30/361] 01998551-cd9a-44cc-b2b5-297af7aebcdd: Sackin index -0.0747; 54.3 s; peak memory 258 MiB.
2026-09-17T00:11:10Z INFO [31/361] 019a4fa9-4157-4efd-877a-0cc055328668: Sackin index -0.1239; 0.9 s; peak memory 258 MiB.
2026-09-17T00:11:11Z INFO [32/361] 019abf0d-3097-4a41-ae90-1ce0f1a07df2: Sackin index -0.1380; 1.1 s; peak memory 258 MiB.
2026-09-17T00:11:24Z INFO [33/361] 019b6009-e0ae-40a2-ad7f-5e9fc62a1d84: Sackin index -0.0043; 13.2 s; peak memory 258 MiB.
2026-09-17T00:13:10Z INFO [34/361] 019c40b2-c740-4a74-b297-7ec1dd008b7d: Sackin index -0.0573; 105.4 s; peak memory 283 MiB.
2026-09-17T00:13:14Z INFO [35/361] 019e25ef-59eb-489a-8d5d-ce9dd5758f0f: Sackin index -0.0234; 4.7 s; peak memory 283 MiB.
2026-09-17T00:13:16Z INFO [36/361] 019fac19-f9d3-424a-95eb-51708621a9ba: Sackin index -0.0648; 2.0 s; peak memory 283 MiB.
2026-09-17T00:13:18Z INFO [37/361] 01a00d0e-26f0-4a86-8545-567d4e373828: Sackin index -0.0380; 1.2 s; peak memory 283 MiB.
2026-09-17T00:13:19Z INFO [38/361] 01a047e1-469b-462c-a104-ba25df64a484: Sackin index -0.1191; 1.0 s; peak memory 283 MiB.
2026-09-17T00:13:22Z INFO [39/361] 01a10350-5def-41fa-ba4a-1cd9f453e43f: Sackin index -0.0653; 3.2 s; peak memory 283 MiB.
2026-09-17T00:13:23Z INFO [40/361] 01a2535b-7ee4-4c29-8d96-7d653ea2ef56: Sackin index -0.1191; 0.9 s; peak memory 283 MiB.
2026-09-17T00:13:24Z INFO [41/361] 01a330d8-1049-45ad-b2b4-242d32c26da7: Sackin index -0.1349; 0.9 s; peak memory 283 MiB.
2026-09-17T00:13:25Z INFO [42/361] 01a39d18-954e-423b-a6fb-e44d6945fc71: Sackin index -0.0728; 1.5 s; peak memory 283 MiB.
2026-09-17T00:13:26Z INFO [43/361] 01a3f041-a8b0-419e-95da-8c6a9d490d14: Sackin index -0.0728; 1.2 s; peak memory 283 MiB.
2026-09-17T00:13:28Z INFO [44/361] 01a47967-b0ff-4146-8f1b-143ba91c1116: Sackin index -0.1273; 1.3 s; peak memory 283 MiB.
2026-09-17T00:13:28Z INFO [45/361] 01a58631-8cd1-46ce-8009-bef057f867c5: Sackin index -0.1658; 0.7 s; peak memory 283 MiB.
2026-09-17T00:13:29Z INFO [46/361] 01a713fb-078a-45f9-9a41-40bd36f506b2: Sackin index -0.1331; 0.9 s; peak memory 283 MiB.
2026-09-17T00:13:30Z INFO [47/361] 01a83c41-b631-4f45-9285-a334cc0df133: Sackin index -0.0376; 1.0 s; peak memory 283 MiB.
2026-09-17T00:13:31Z INFO [48/361] 01a932cd-ee2b-4ac2-8771-eaa8890a7d82: Sackin index -0.1272; 0.7 s; peak memory 283 MiB.
2026-09-17T00:13:45Z INFO [49/361] 01a987ae-2490-4bb4-b706-578096b2f435: Sackin index -0.0147; 14.6 s; peak memory 283 MiB.
2026-09-17T00:13:47Z INFO [50/361] 01a9ee05-aeb8-46c4-847c-4c65595902e6: Sackin index -0.0809; 1.9 s; peak memory 283 MiB.
2026-09-17T00:13:47Z INFO [50/361] 01a9ee05-aeb8-46c4-847c-4c65595902e6: checkpointed 47719 records.
2026-09-17T00:13:49Z INFO [51/361] 01aa8dfe-9b3f-4c3d-8166-e42e197c8534: Sackin index -0.0272; 1.6 s; peak memory 283 MiB.
2026-09-17T00:13:50Z INFO [52/361] 01aa8f28-e0b1-4bda-9a75-f7b312ff7fbe: Sackin index -0.1383; 1.2 s; peak memory 283 MiB.
2026-09-17T00:13:52Z INFO [53/361] 01aab354-09b5-4d5c-8537-c5b7522fb482: Sackin index -0.0728; 1.3 s; peak memory 283 MiB.
2026-09-17T00:13:53Z INFO [54/361] 01abb95d-effe-4b41-868d-d4d6d6b5b704: Sackin index -0.0585; 1.9 s; peak memory 283 MiB.
2026-09-17T00:13:56Z INFO [55/361] 01abe7a1-48e1-42c7-bd39-14c2b46c89b9: Sackin index -0.0643; 2.3 s; peak memory 283 MiB.
2026-09-17T00:13:57Z INFO [56/361] 01abe883-c101-4128-b885-9ed7b772a288: Sackin index -0.1331; 0.9 s; peak memory 283 MiB.
2026-09-17T00:13:58Z INFO [57/361] 01ac90d3-2605-47e1-9091-96b2541e267a: Sackin index -0.0369; 1.6 s; peak memory 283 MiB.
2026-09-17T00:14:00Z INFO [58/361] 01add43d-9ec3-499f-89d5-744a9fd8fb37: Sackin index -0.0369; 1.3 s; peak memory 283 MiB.
2026-09-17T00:14:01Z INFO [59/361] 01adf9fe-3a64-4d76-8033-83d6cdcdaa90: Sackin index -0.1349; 1.0 s; peak memory 283 MiB.
2026-09-17T00:14:02Z INFO [60/361] 01adfa22-2213-45be-ab22-111a2aac89d1: Sackin index -0.1383; 1.2 s; peak memory 283 MiB.
2026-09-17T00:14:03Z INFO [61/361] 01ae2905-0556-4c17-b8c8-3b5c22119799: Sackin index -0.1191; 0.9 s; peak memory 283 MiB.
2026-09-17T00:14:04Z INFO [62/361] 01ae8d9d-81f6-45b1-a088-bf14dd4dabf0: Sackin index -0.0728; 1.6 s; peak memory 283 MiB.
2026-09-17T00:14:05Z INFO [63/361] 01afdb71-8b1f-40fa-bdab-5605c2d19770: Sackin index -0.0709; 1.2 s; peak memory 283 MiB.
2026-09-17T00:14:10Z INFO [64/361] 01b1aad4-fc19-4ec3-8d81-1223df34112e: Sackin index -0.0411; 4.2 s; peak memory 283 MiB.
2026-09-17T00:14:11Z INFO [65/361] 01b232bc-1be7-4a5f-a34a-528599105834: Sackin index -0.1349; 0.9 s; peak memory 283 MiB.
2026-09-17T00:14:11Z INFO [66/361] 01b2760b-aa16-43ae-aaec-e3f04cd41bf2: Sackin index -0.1349; 0.9 s; peak memory 283 MiB.
2026-09-17T00:14:12Z INFO [67/361] 01b2b255-3c06-4760-99a6-5b176bd42413: Sackin index -0.0709; 1.0 s; peak memory 283 MiB.
2026-09-17T00:14:14Z INFO [68/361] 01b38848-b706-4835-8e84-05cc2f9d36f4: Sackin index -0.0375; 1.1 s; peak memory 283 MiB.
2026-09-17T00:14:24Z INFO [69/361] 01b3ae7d-5c01-4696-84e3-68e2c40e8d8e: Sackin index -0.0614; 10.2 s; peak memory 283 MiB.
2026-09-17T00:14:24Z INFO [70/361] 01b40f4f-b6f1-4828-9ec5-27ce0ab772aa: Sackin index -0.0656; 0.8 s; peak memory 283 MiB.
2026-09-17T00:14:25Z INFO [71/361] 01b4114b-b786-451d-9c38-259e0d1958d1: Sackin index -0.0702; 1.0 s; peak memory 283 MiB.
2026-09-17T00:14:26Z INFO [72/361] 01b43055-a9a0-4948-8929-dec1e26d14f3: Sackin index -0.1239; 0.8 s; peak memory 283 MiB.
2026-09-17T00:14:27Z INFO [73/361] 01b6018f-56c4-4ef2-b157-dd333269f38f: Sackin index -0.1273; 1.1 s; peak memory 283 MiB.
2026-09-17T00:14:29Z INFO [74/361] 01b63eb4-e883-466a-8c0d-0742e4cb3fb4: Sackin index -0.0738; 1.8 s; peak memory 283 MiB.
