2026-09-17T16:18:29Z INFO Logging to /tmp/logs/update_2026-09-17T16-18-29Z.log.
2026-09-17T16:18:29Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-17T16:18:29Z INFO Processing 385 items (48030 already recorded).
2026-09-17T16:18:32Z INFO [1/385] 024ef50f-ac6f-49ea-806b-93ef4b5e8644: Sackin index -0.0172; 3.1 s; peak memory 104 MiB.
2026-09-17T16:18:41Z INFO [2/385] 02509ae0-e003-4390-9ad5-bbc66f840a48: Sackin index -0.1310; 8.9 s; peak memory 109 MiB.
2026-09-17T16:18:43Z INFO [3/385] 0251d188-8c68-4d63-a312-1613fd7f0bea: Sackin index -0.0385; 1.7 s; peak memory 109 MiB.
2026-09-17T16:18:49Z INFO [4/385] 02527521-97e8-4042-b54e-41bde2234281: Sackin index -0.0403; 6.4 s; peak memory 109 MiB.
2026-09-17T16:19:03Z INFO [5/385] 02528e5e-47c9-4647-992e-dfbcc869edef: Sackin index -0.0120; 14.2 s; peak memory 147 MiB.
2026-09-17T16:19:05Z INFO [6/385] 0252bb92-94f9-4450-bec6-3d16202344cb: Sackin index -0.0752; 2.0 s; peak memory 147 MiB.
2026-09-17T16:19:09Z INFO [7/385] 025311c1-a941-4cdb-9ca0-4e7d74e1acbd: Sackin index -0.0660; 3.9 s; peak memory 148 MiB.
2026-09-17T16:19:10Z INFO [8/385] 02537338-fe4e-492d-89ce-d33f06c99a76: Sackin index -0.3646; 1.1 s; peak memory 148 MiB.
2026-09-17T16:19:13Z INFO [9/385] 0253b369-5b51-4800-bbd1-045e1db0a2ac: Sackin index -0.0824; 2.8 s; peak memory 148 MiB.
2026-09-17T16:19:15Z INFO [10/385] 0253dc7c-5a6c-417a-910a-5f984c374001: Sackin index -0.1248; 1.6 s; peak memory 148 MiB.
2026-09-17T16:19:16Z INFO [11/385] 02541d8f-963b-43af-9981-a9e2dfe749a6: Sackin index -0.1148; 1.2 s; peak memory 148 MiB.
2026-09-17T16:19:18Z INFO [12/385] 02547517-2be9-4d24-9ded-3f6a99a23365: Sackin index -0.1000; 1.7 s; peak memory 148 MiB.
2026-09-17T16:19:20Z INFO [13/385] 02549eff-7d98-4458-92e7-284a56e6657c: Sackin index -0.0728; 2.1 s; peak memory 148 MiB.
2026-09-17T16:19:24Z INFO [14/385] 0254cfa7-c12c-434b-9222-d77c386a244c: Sackin index -0.0514; 4.6 s; peak memory 148 MiB.
2026-09-17T16:19:25Z INFO [15/385] 0256b433-cfa1-4537-a4a8-904050680cd9: Sackin index -0.1484; 1.1 s; peak memory 148 MiB.
2026-09-17T16:19:27Z INFO [16/385] 02572c21-3241-4db4-8594-d373920ab756: Sackin index -0.0702; 1.6 s; peak memory 148 MiB.
2026-09-17T16:19:28Z INFO [17/385] 025816cb-ed17-45e6-8e1c-9bd19df73649: Sackin index -0.1349; 1.3 s; peak memory 149 MiB.
2026-09-17T16:19:30Z INFO [18/385] 0258d312-619a-4c4c-9a10-2af71236aa0b: Sackin index -0.1938; 1.2 s; peak memory 149 MiB.
2026-09-17T16:19:32Z INFO [19/385] 0259095a-8c73-4a99-a5a6-55aa0c7e3254: Sackin index -0.0375; 1.9 s; peak memory 149 MiB.
2026-09-17T16:19:33Z INFO [20/385] 02593f98-9954-462f-840d-79240d42b396: Sackin index -0.1349; 1.4 s; peak memory 149 MiB.
2026-09-17T16:21:26Z INFO [21/385] 0259c826-316d-42c8-a97c-44fa8c8f8620: Sackin index -0.1076; 113.0 s; peak memory 283 MiB.
2026-09-17T16:21:33Z INFO [22/385] 025bdf39-a221-4bd0-b7de-9e02f03d035a: Sackin index -0.0403; 7.0 s; peak memory 283 MiB.
2026-09-17T16:21:36Z INFO [23/385] 025d2697-9601-4cf2-86b5-b208c1a5fbc8: Sackin index -0.0728; 2.6 s; peak memory 283 MiB.
2026-09-17T16:21:37Z INFO [24/385] 025de1d3-af05-46c2-b07a-d0c1e13239ff: Sackin index -0.1249; 1.7 s; peak memory 283 MiB.
2026-09-17T16:21:39Z INFO [25/385] 025e0e77-43c5-4f38-bc31-f896c8a14329: Sackin index -0.0702; 1.7 s; peak memory 283 MiB.
2026-09-17T16:21:41Z INFO [26/385] 025ecd20-bb2a-4931-978c-57c58c93476a: Sackin index -0.0928; 1.7 s; peak memory 283 MiB.
2026-09-17T16:21:58Z INFO [27/385] 025f4e29-2fc9-4629-9ec0-60cc276e677e: Sackin index -0.0131; 17.8 s; peak memory 283 MiB.
2026-09-17T16:22:00Z INFO [28/385] 025f5b3e-1580-4903-adac-42d9785baf5c: Sackin index -0.1288; 1.3 s; peak memory 283 MiB.
2026-09-17T16:22:01Z INFO [29/385] 025fcd35-7ea0-4c05-acd4-8ddb02db4ef8: Sackin index -0.1120; 1.2 s; peak memory 283 MiB.
2026-09-17T16:22:18Z INFO [30/385] 025fda14-1b5b-42d1-bece-d4498fc36c41: Sackin index -0.1938; 17.5 s; peak memory 283 MiB.
2026-09-17T16:22:34Z INFO [31/385] 02601806-e257-4127-b97e-7c3a7858666f: Sackin index -0.0137; 15.3 s; peak memory 283 MiB.
2026-09-17T16:22:35Z INFO [32/385] 02602788-2fe0-4e29-8667-88c36c23a3a5: Sackin index -0.1602; 1.5 s; peak memory 283 MiB.
2026-09-17T16:22:37Z INFO [33/385] 02616421-800f-4150-bc7e-6e8b46452c3f: Sackin index -0.1349; 1.5 s; peak memory 283 MiB.
2026-09-17T16:22:39Z INFO [34/385] 02616a8c-b5f8-4aba-8058-e8cb30ec822f: Sackin index -0.0728; 2.3 s; peak memory 283 MiB.
2026-09-17T16:22:41Z INFO [35/385] 0261f267-b39d-428e-9ef6-19a648e46e3d: Sackin index -0.1015; 1.9 s; peak memory 283 MiB.
2026-09-17T16:22:42Z INFO [36/385] 026205d8-4257-4600-aa81-8dd5d214f40d: Sackin index -0.1658; 1.1 s; peak memory 283 MiB.
2026-09-17T16:22:44Z INFO [37/385] 0262192f-33d6-4d2f-92d7-9bf49213473d: Sackin index -0.0702; 1.9 s; peak memory 283 MiB.
2026-09-17T16:22:45Z INFO [38/385] 0262e06f-7fdd-42fd-9cd9-9f358867890f: Sackin index -0.2168; 1.1 s; peak memory 283 MiB.
2026-09-17T16:22:47Z INFO [39/385] 0263c627-cc16-4c62-a29d-13b945380364: Sackin index -0.1291; 2.1 s; peak memory 283 MiB.
2026-09-17T16:22:49Z INFO [40/385] 0263cad7-9b43-4043-8e4e-d999d9cfcc27: Sackin index -0.0275; 2.3 s; peak memory 283 MiB.
2026-09-17T16:22:51Z INFO [41/385] 02649d2a-16ec-4d5f-bdba-a154b6245a1c: Sackin index -0.1349; 1.3 s; peak memory 283 MiB.
2026-09-17T16:22:52Z INFO [42/385] 0264a635-b276-45be-9dec-88484f1bc2bd: Sackin index -0.0702; 1.6 s; peak memory 283 MiB.
2026-09-17T16:22:54Z INFO [43/385] 0264c460-d4cd-4c05-9aaf-527824b9c523: Sackin index -0.1349; 1.3 s; peak memory 283 MiB.
2026-09-17T16:22:57Z INFO [44/385] 026504fc-3d87-47fc-acf8-eb8cabcf1d78: Sackin index -0.0824; 3.2 s; peak memory 283 MiB.
2026-09-17T16:22:58Z INFO [45/385] 026535d4-f345-4e0d-a322-0989787fce36: Sackin index -0.1349; 1.4 s; peak memory 283 MiB.
2026-09-17T16:23:00Z INFO [46/385] 0265e972-ce89-4e76-ad16-722e4b535f21: Sackin index -0.0745; 1.9 s; peak memory 283 MiB.
2026-09-17T16:23:16Z INFO [47/385] 026668b1-7ebc-4629-b7e3-65ee751b810d: Sackin index -0.0155; 15.7 s; peak memory 283 MiB.
2026-09-17T16:23:17Z INFO [48/385] 0266f327-f0e8-4906-bf87-c9044c231c47: Sackin index -0.1349; 1.4 s; peak memory 283 MiB.
2026-09-17T16:23:20Z INFO [49/385] 026732de-e63f-4c3d-8697-27bd6f0b927a: Sackin index -0.0272; 2.2 s; peak memory 283 MiB.
2026-09-17T16:23:21Z INFO [50/385] 02695368-ec1f-4f6f-a065-17083377175a: Sackin index -0.1349; 1.5 s; peak memory 283 MiB.
2026-09-17T16:23:21Z INFO [50/385] 02695368-ec1f-4f6f-a065-17083377175a: checkpointed 48080 records.
2026-09-17T16:23:23Z INFO [51/385] 02698ca0-93ef-495e-9c98-10c2514fa4aa: Sackin index -0.1349; 1.4 s; peak memory 283 MiB.
2026-09-17T16:23:25Z INFO [52/385] 026999f7-a034-4207-b483-9a840d0cd8d5: Sackin index -0.0728; 2.2 s; peak memory 283 MiB.
2026-09-17T16:23:26Z INFO [53/385] 026a656d-cab6-489b-963c-dca1fa70da99: Sackin index -0.1356; 1.2 s; peak memory 283 MiB.
2026-09-17T16:23:27Z INFO [54/385] 026aaef8-a741-49ee-8a08-da1a27af227c: Sackin index -0.1161; 1.1 s; peak memory 283 MiB.
2026-09-17T16:23:31Z INFO [55/385] 026ae42b-9345-40e0-943c-c33cbdf5d4f1: Sackin index -0.0681; 3.5 s; peak memory 283 MiB.
2026-09-17T16:23:32Z INFO [56/385] 026bebbd-e167-464d-b71c-0170734b09f4: Sackin index -0.0728; 1.9 s; peak memory 283 MiB.
2026-09-17T16:23:34Z INFO [57/385] 026c0e13-b0f0-4143-8074-a3fbae51024a: Sackin index -0.0709; 1.9 s; peak memory 283 MiB.
2026-09-17T16:23:37Z INFO [58/385] 026da8fc-01fd-4c50-b931-7513bb92e3d5: Sackin index -0.0728; 2.7 s; peak memory 283 MiB.
2026-09-17T16:23:38Z INFO [59/385] 026ea2d4-80b0-4dfa-87c6-91467b5d7456: Sackin index -0.1349; 1.5 s; peak memory 283 MiB.
2026-09-17T16:23:40Z INFO [60/385] 026ed2c0-0267-405b-a443-f610055369b3: Sackin index -0.0702; 1.8 s; peak memory 283 MiB.
2026-09-17T16:23:42Z INFO [61/385] 026edd41-d5c4-4eb9-bce6-aec2b28d3adb: Sackin index -0.1257; 1.7 s; peak memory 283 MiB.
2026-09-17T16:23:43Z INFO [62/385] 026f2545-e025-438d-a346-5a83ea2623ea: Sackin index -0.0667; 1.4 s; peak memory 283 MiB.
2026-09-17T16:23:47Z INFO [63/385] 026f8d08-f603-4e70-9471-3b1a17034aec: Sackin index -0.1938; 3.3 s; peak memory 283 MiB.
2026-09-17T16:23:49Z INFO [64/385] 0270603b-3fb5-40e3-a96a-85e60f4e1baf: Sackin index -0.0728; 2.3 s; peak memory 283 MiB.
2026-09-17T16:23:52Z INFO [65/385] 027104dc-4a1a-426e-88a0-b0b00153dbb0: Sackin index -0.1938; 3.2 s; peak memory 283 MiB.
2026-09-17T16:23:54Z INFO [66/385] 02717735-65c6-4ae7-8b49-305d3830a819: Sackin index -0.0702; 1.8 s; peak memory 283 MiB.
2026-09-17T16:23:57Z INFO [67/385] 02718419-2ed3-4aed-ba52-394f6e32bcd7: Sackin index -0.0369; 2.9 s; peak memory 283 MiB.
2026-09-17T16:23:59Z INFO [68/385] 0272af92-c8e8-49c5-8603-fe47a19522bb: Sackin index -0.0413; 1.9 s; peak memory 283 MiB.
2026-09-17T16:24:01Z INFO [69/385] 02732f18-5297-49be-9cdb-5ec2e5b3b8b4: Sackin index -0.0802; 2.2 s; peak memory 283 MiB.
2026-09-17T16:24:03Z INFO [70/385] 027397dd-2162-47ac-9f65-0ddfd6b69879: Sackin index -0.0376; 2.1 s; peak memory 283 MiB.
2026-09-17T16:24:05Z INFO [71/385] 02740701-1f67-45e0-b2a4-a7cbe7e62464: Sackin index -0.0702; 1.6 s; peak memory 283 MiB.
2026-09-17T16:24:07Z INFO [72/385] 02743f50-6873-4dc0-b940-b80dc244fbe9: Sackin index -0.0728; 2.3 s; peak memory 283 MiB.
2026-09-17T16:24:08Z INFO [73/385] 0275742a-fb13-4fd0-9feb-48a961e8ef61: Sackin index -0.1331; 1.4 s; peak memory 283 MiB.
2026-09-17T16:24:10Z INFO [74/385] 02757e50-e816-4a32-a8ef-3952a3ec217c: Sackin index -0.0656; 1.5 s; peak memory 283 MiB.
