2026-09-17T20:58:55Z INFO Logging to /tmp/logs/update_2026-09-17T20-58-55Z.log.
2026-09-17T20:58:55Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-17T20:58:55Z INFO Processing 372 items (48415 already recorded).
2026-09-17T20:58:57Z INFO [1/372] 031ead3d-5b25-470a-9e4a-ce71a59cce1e: Sackin index -0.1461; 1.7 s; peak memory 97 MiB.
2026-09-17T20:58:59Z INFO [2/372] 031eaed9-8c5a-4641-8dbc-727617a5e071: Sackin index -0.0381; 1.7 s; peak memory 99 MiB.
2026-09-17T20:59:00Z INFO [3/372] 031ec13b-5ba0-41ad-8616-4e096672c2cf: Sackin index -0.0702; 1.8 s; peak memory 102 MiB.
2026-09-17T20:59:08Z INFO [4/372] 031f08bd-8b9d-420c-a50b-1de3cbd5d026: Sackin index -0.0249; 7.6 s; peak memory 116 MiB.
2026-09-17T20:59:10Z INFO [5/372] 031f10e6-c448-4607-bf4d-105dac9357dd: Sackin index -0.0702; 1.6 s; peak memory 116 MiB.
2026-09-17T20:59:12Z INFO [6/372] 031f7146-a42c-4d6a-a31a-1e9f2c395779: Sackin index -0.0369; 2.1 s; peak memory 116 MiB.
2026-09-17T20:59:14Z INFO [7/372] 03206baf-a88c-4c20-b780-cb8a6e42624c: Sackin index -0.0728; 2.1 s; peak memory 116 MiB.
2026-09-17T20:59:15Z INFO [8/372] 03208b4c-3453-42ce-a4bc-66ba61308329: Sackin index -0.1239; 1.2 s; peak memory 117 MiB.
2026-09-17T20:59:16Z INFO [9/372] 0320bea0-3094-4c04-a8db-461b04e6eaf2: Sackin index -0.1349; 1.5 s; peak memory 117 MiB.
2026-09-17T20:59:18Z INFO [10/372] 032137d6-d4b1-467c-a85c-973ed7513df2: Sackin index -0.0702; 1.9 s; peak memory 117 MiB.
2026-09-17T20:59:19Z INFO [11/372] 03218b80-9caf-45af-bd7f-5956e243f5b8: Sackin index -0.1108; 1.1 s; peak memory 117 MiB.
2026-09-17T20:59:23Z INFO [12/372] 0322e3f9-64b5-4e78-865e-74f060889edf: Sackin index -0.0797; 3.4 s; peak memory 117 MiB.
2026-09-17T20:59:50Z INFO [13/372] 03238fef-42c2-4294-a6a1-5267a33c07d5: Sackin index -0.0140; 27.7 s; peak memory 157 MiB.
2026-09-17T20:59:52Z INFO [14/372] 0323b62c-bc7f-4806-9ad9-1696d2b42bb9: Sackin index -0.0413; 1.9 s; peak memory 157 MiB.
2026-09-17T20:59:55Z INFO [15/372] 0323c827-3c2a-4b92-98db-a7cac2f647c2: Sackin index -0.1938; 2.7 s; peak memory 157 MiB.
2026-09-17T20:59:57Z INFO [16/372] 0323f0ad-1a89-45ef-aaeb-cdcc6ef765df: Sackin index -0.0818; 1.7 s; peak memory 157 MiB.
2026-09-17T21:00:03Z INFO [17/372] 03254648-f5e8-4a29-b720-2ac3356e5a2f: Sackin index -0.0251; 6.1 s; peak memory 157 MiB.
2026-09-17T21:00:06Z INFO [18/372] 0326a20f-0453-4949-b951-637340e2a5aa: Sackin index -0.0494; 3.6 s; peak memory 157 MiB.
2026-09-17T21:00:08Z INFO [19/372] 03273dca-c55a-4ca9-868c-f1fbb2860e76: Sackin index -0.1349; 1.4 s; peak memory 157 MiB.
2026-09-17T21:00:09Z INFO [20/372] 0327aa4d-71e8-4f7d-8d9d-2e032fa568f5: Sackin index -0.1349; 1.3 s; peak memory 157 MiB.
2026-09-17T21:00:11Z INFO [21/372] 03286bbd-707b-4b66-925e-04609288a358: Sackin index -0.0378; 1.7 s; peak memory 157 MiB.
2026-09-17T21:00:13Z INFO [22/372] 032934d7-f9e2-43c8-be56-d6598ec75d69: Sackin index -0.1210; 2.1 s; peak memory 157 MiB.
2026-09-17T21:00:15Z INFO [23/372] 032952f0-410a-423c-be15-f17deb371265: Sackin index -0.1349; 1.5 s; peak memory 157 MiB.
2026-09-17T21:00:16Z INFO [24/372] 03297d06-7c90-42a4-b2ca-ca1c99cfc2b7: Sackin index -0.0702; 1.6 s; peak memory 157 MiB.
2026-09-17T21:00:18Z INFO [25/372] 032a5355-e71e-4389-b744-708ec235a859: Sackin index -0.0376; 2.1 s; peak memory 157 MiB.
2026-09-17T21:00:21Z INFO [26/372] 032a6458-d3de-48c2-8b3d-d2563f742a66: Sackin index -0.0369; 2.5 s; peak memory 157 MiB.
2026-09-17T21:00:22Z INFO [27/372] 032dcb2f-2af3-44c3-aa26-ad24f3b74f98: Sackin index -0.1349; 1.4 s; peak memory 157 MiB.
2026-09-17T21:00:24Z INFO [28/372] 032de5e9-9861-4d19-8fef-58f2781bf5ef: Sackin index -0.0709; 1.7 s; peak memory 157 MiB.
2026-09-17T21:00:27Z INFO [29/372] 032dffee-1ab3-4c02-ab04-7f37a305efa5: Sackin index -0.0643; 3.0 s; peak memory 157 MiB.
2026-09-17T21:00:29Z INFO [30/372] 032e2141-b01e-44e0-8143-9a2f093892fd: Sackin index -0.0702; 1.6 s; peak memory 157 MiB.
