2026-09-18T10:38:11Z INFO Logging to /tmp/logs/update_2026-09-18T10-38-11Z.log.
2026-09-18T10:38:11Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-18T10:38:11Z INFO Processing 500 items (48787 already recorded).
2026-09-18T10:38:13Z INFO [1/500] 0166c3fd-03f3-4920-9f20-93d081fa89e0: Sackin index -0.1294; 1.6 s; peak memory 99 MiB.
2026-09-18T10:38:14Z INFO [2/500] 03ec5a4f-3173-42f8-850c-15ed08aed12c: Sackin index -0.0728; 0.9 s; peak memory 102 MiB.
2026-09-18T10:38:21Z INFO [3/500] 03ecbdfe-ab2e-49a1-8105-35c0e68b2375: Sackin index -0.1495; 7.1 s; peak memory 113 MiB.
2026-09-18T10:38:52Z INFO [4/500] 03eea484-e3c5-4e78-a5da-da00dd567585: Sackin index -0.0025; 30.6 s; peak memory 271 MiB.
2026-09-18T10:38:52Z INFO [5/500] 03eea5a4-038d-4f00-ac1f-b6354a112958: Sackin index -0.1349; 0.7 s; peak memory 271 MiB.
2026-09-18T10:38:54Z INFO [6/500] 03ef2886-16d4-4dad-a144-f842850112b7: Sackin index -0.0676; 1.7 s; peak memory 271 MiB.
2026-09-18T10:38:55Z INFO [7/500] 03f0ba9a-9fba-4fbd-90e9-1fa2550d6e69: Sackin index -0.0702; 0.8 s; peak memory 271 MiB.
2026-09-18T10:38:56Z INFO [8/500] 03f14658-7775-40db-91c7-631753f4a679: Sackin index -0.1191; 0.8 s; peak memory 271 MiB.
2026-09-18T10:38:56Z INFO [9/500] 03f1c800-065e-49c5-ace1-c5c7c82e504d: Sackin index -0.1349; 0.7 s; peak memory 271 MiB.
2026-09-18T10:39:24Z INFO [10/500] 03f1cdc0-68da-4bb2-bf8e-1e3c8775ced3: Sackin index -0.0035; 27.7 s; peak memory 271 MiB.
2026-09-18T10:39:30Z INFO [11/500] 03f2eca9-62ef-4346-a121-eed00bcea895: Sackin index -0.0341; 6.0 s; peak memory 271 MiB.
2026-09-18T10:39:31Z INFO [12/500] 03f2f433-cf73-4234-9ab5-77fb454001c7: Sackin index -0.1135; 0.5 s; peak memory 271 MiB.
2026-09-18T10:39:32Z INFO [13/500] 03f4ae5c-122a-49eb-8157-a17e7b3d53a0: Sackin index -0.0276; 1.1 s; peak memory 271 MiB.
2026-09-18T10:39:33Z INFO [14/500] 03f58e87-27be-4323-9e18-ef5f2d6ce202: Sackin index -0.0722; 0.8 s; peak memory 271 MiB.
2026-09-18T10:39:36Z INFO [15/500] 03f5a363-67cf-46d8-a613-1cd18948c791: Sackin index -0.0435; 3.6 s; peak memory 272 MiB.
2026-09-18T10:39:37Z INFO [16/500] 03f5e816-978b-4392-8af8-b6e00418d508: Sackin index -0.0702; 0.8 s; peak memory 272 MiB.
2026-09-18T10:39:38Z INFO [17/500] 03f67660-6b21-4123-bacf-d99035183cc7: Sackin index -0.1349; 0.8 s; peak memory 272 MiB.
2026-09-18T10:39:44Z INFO [18/500] 03f6ad99-e66c-40de-8912-9a6393f281b7: Sackin index -0.0212; 6.7 s; peak memory 272 MiB.
2026-09-18T10:39:53Z INFO [19/500] 03f75ed7-0bb7-4ba9-83b4-6cb8ce276b1c: Sackin index -0.0235; 8.7 s; peak memory 272 MiB.
2026-09-18T10:39:59Z INFO [20/500] 03f849ed-271b-4c8e-86ff-557e856af8ec: Sackin index -0.0017; 6.1 s; peak memory 275 MiB.
2026-09-18T10:40:01Z INFO [21/500] 03f87c79-0a7c-4d3d-b676-7ff81d9b5dcf: Sackin index -0.0676; 1.5 s; peak memory 275 MiB.
2026-09-18T10:40:02Z INFO [22/500] 03f95264-aa26-4e01-93c6-8d8f4d6f46b3: Sackin index -0.1273; 1.0 s; peak memory 275 MiB.
2026-09-18T10:40:02Z INFO [23/500] 03f990bb-c6a3-4a69-be61-90842db7d664: Sackin index -0.0702; 0.8 s; peak memory 275 MiB.
2026-09-18T10:40:03Z INFO [24/500] 03f9b1bd-51c7-4eef-8e61-ab29a32f7ac1: Sackin index -0.1293; 1.0 s; peak memory 275 MiB.
2026-09-18T10:40:07Z INFO [25/500] 03f9d437-7e12-4a54-8692-484facb224fe: Sackin index -0.0246; 3.2 s; peak memory 275 MiB.
2026-09-18T10:40:08Z INFO [26/500] 03fa51fd-8756-4ac0-bf11-a50656ee1fd7: Sackin index -0.1938; 1.6 s; peak memory 275 MiB.
2026-09-18T10:40:09Z INFO [27/500] 03fa5eb8-b22b-442c-9fa6-a02250575411: Sackin index -0.2000; 0.5 s; peak memory 275 MiB.
2026-09-18T10:40:18Z INFO [28/500] 03fc3197-8d0c-4434-ab39-b6ce97caec27: Sackin index -0.1462; 9.5 s; peak memory 275 MiB.
