2026-09-18T15:53:56Z INFO Logging to /tmp/logs/update_2026-09-18T15-53-56Z.log.
2026-09-18T15:53:56Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-18T15:53:56Z INFO Processing 500 items (49287 already recorded).
2026-09-18T15:53:58Z INFO [1/500] 0514f007-a890-4e83-b0a5-69b9de319ac3: Sackin index -0.0379; 2.2 s; peak memory 99 MiB.
2026-09-18T15:54:14Z INFO [2/500] 05156443-e952-4f78-95d6-1234cbc9d0a8: Sackin index -0.0158; 15.9 s; peak memory 134 MiB.
2026-09-18T15:54:16Z INFO [3/500] 0515698a-ba7f-491c-b7a4-36ac259a247d: Sackin index -0.0696; 1.6 s; peak memory 134 MiB.
2026-09-18T15:54:19Z INFO [4/500] 05163ed0-c6f2-4e21-8c86-2ce72651b103: Sackin index -0.1938; 2.9 s; peak memory 134 MiB.
2026-09-18T15:54:20Z INFO [5/500] 05164ea7-da9f-455b-a82c-7a922938d2d8: Sackin index -0.0696; 1.6 s; peak memory 134 MiB.
2026-09-18T15:54:22Z INFO [6/500] 05179b9d-5a97-4eb5-9768-964b0b8a9d07: Sackin index -0.1704; 1.8 s; peak memory 135 MiB.
2026-09-18T15:54:23Z INFO [7/500] 0517c7a3-d041-42a4-bf0e-404aae292ed2: Sackin index -0.2000; 1.0 s; peak memory 135 MiB.
2026-09-18T15:54:25Z INFO [8/500] 0517e2a4-3fef-4792-9028-167e59d43fa4: Sackin index -0.1191; 1.4 s; peak memory 135 MiB.
2026-09-18T15:54:26Z INFO [9/500] 0518061f-53eb-4891-ad0b-fabfbc05c9ce: Sackin index -0.1349; 1.3 s; peak memory 135 MiB.
2026-09-18T15:54:27Z INFO [10/500] 05183659-fd91-448a-8c5b-2ed920235cf7: Sackin index -0.1349; 1.4 s; peak memory 135 MiB.
2026-09-18T15:54:28Z INFO [11/500] 0518f1f4-df62-4a59-8738-41ec0836899e: Sackin index -0.1658; 1.0 s; peak memory 135 MiB.
2026-09-18T15:54:30Z INFO [12/500] 051987e9-a292-42ab-964b-f0fcfb10ca3a: Sackin index -0.0728; 1.7 s; peak memory 135 MiB.
2026-09-18T15:54:33Z INFO [13/500] 051a1b67-2995-4226-94c1-cf4715884f40: Sackin index -0.0369; 2.4 s; peak memory 135 MiB.
2026-09-18T15:54:43Z INFO [14/500] 051a509c-49ff-4665-9275-e9e260e17c10: Sackin index -0.0174; 10.2 s; peak memory 136 MiB.
2026-09-18T15:54:44Z INFO [15/500] 051b1694-3d04-4e5b-8ce4-c62accf072a3: Sackin index -0.1349; 1.4 s; peak memory 136 MiB.
2026-09-18T15:54:46Z INFO [16/500] 051b1705-46eb-412c-980a-e99eaa22225d: Sackin index -0.1349; 1.4 s; peak memory 137 MiB.
2026-09-18T15:54:49Z INFO [17/500] 051cc117-2547-4be4-84c3-475570ca9fd2: Sackin index -0.0842; 3.2 s; peak memory 137 MiB.
2026-09-18T15:54:50Z INFO [18/500] 051d1195-6de3-4853-bf26-4c7b31c06fd5: Sackin index -0.1349; 1.4 s; peak memory 137 MiB.
2026-09-18T15:54:53Z INFO [19/500] 051db6b5-c7de-4bd8-a393-cc1061454c0c: Sackin index -0.1938; 3.0 s; peak memory 137 MiB.
2026-09-18T15:54:54Z INFO [20/500] 051f15f8-fe80-4995-9774-8afa607a8fe6: Sackin index -0.1658; 1.1 s; peak memory 138 MiB.
2026-09-18T15:54:57Z INFO [21/500] 051f3823-9a6d-489c-9d78-8d2da1ca608b: Sackin index -0.1026; 2.3 s; peak memory 138 MiB.
2026-09-18T15:54:58Z INFO [22/500] 05201abc-afb4-4987-bcf8-c0c03d1e79dd: Sackin index -0.0702; 1.6 s; peak memory 138 MiB.
2026-09-18T15:54:59Z INFO [23/500] 0520a84b-5634-42a0-b4cb-47bcf1aa2227: Sackin index -0.1161; 1.1 s; peak memory 138 MiB.
2026-09-18T15:55:09Z INFO [24/500] 0520c2b1-4445-41c6-81db-070b67762bb8: Sackin index -0.1938; 9.4 s; peak memory 138 MiB.
2026-09-18T15:55:10Z INFO [25/500] 052154f9-dedb-4f88-aa7d-6f3ecc66f44e: Sackin index -0.1938; 1.3 s; peak memory 138 MiB.
2026-09-18T15:55:12Z INFO [26/500] 0521bb2b-f854-4c9d-9999-6084f184976f: Sackin index -0.0745; 2.0 s; peak memory 138 MiB.
2026-09-18T15:55:14Z INFO [27/500] 0521fbc4-dd4e-41b7-bad3-dca6c7fcecdb: Sackin index -0.0729; 2.3 s; peak memory 138 MiB.
2026-09-18T15:55:15Z INFO [28/500] 052213ec-d13d-47b3-a3fa-e0a90c13168e: Sackin index -0.1178; 1.0 s; peak memory 138 MiB.
2026-09-18T15:55:18Z INFO [29/500] 0522b33d-7075-4f11-802e-77c2cbed9ce6: Sackin index -0.0704; 3.2 s; peak memory 138 MiB.
2026-09-18T15:55:21Z INFO [30/500] 052319e3-22bb-43f6-bdf6-000c5910d720: Sackin index -0.1072; 2.7 s; peak memory 138 MiB.
2026-09-18T15:55:23Z INFO [31/500] 05231b9d-5dfa-4d67-a552-1a89b8a18b56: Sackin index -0.1273; 1.6 s; peak memory 138 MiB.
2026-09-18T15:55:38Z INFO [32/500] 052340f7-5ebc-4172-96e6-8e803c90d685: Sackin index -0.0145; 15.4 s; peak memory 141 MiB.
2026-09-18T15:55:39Z INFO [33/500] 05239fa2-a564-4f92-a7df-ca5049c362b3: Sackin index -0.2147; 0.9 s; peak memory 141 MiB.
2026-09-18T15:55:41Z INFO [34/500] 0523d5d1-e906-4e86-aa27-d2637d04dde9: Sackin index -0.1307; 1.4 s; peak memory 141 MiB.
2026-09-18T15:55:42Z INFO [35/500] 05241971-5896-4444-b214-c0e55d2978a3: Sackin index -0.0384; 1.7 s; peak memory 141 MiB.
2026-09-18T15:55:46Z INFO [36/500] 05243ff4-f94d-483f-b722-cfcd11fe3df5: Sackin index -0.0908; 4.1 s; peak memory 141 MiB.
2026-09-18T15:55:48Z INFO [37/500] 05248a2d-f5bc-4f8a-bbfc-35770cec65fa: Sackin index -0.0696; 1.7 s; peak memory 141 MiB.
2026-09-18T15:55:49Z INFO [38/500] 0524d1fb-8dd1-441f-8de1-4b54ff225c6f: Sackin index -0.1658; 1.1 s; peak memory 141 MiB.
2026-09-18T15:55:51Z INFO [39/500] 052512fe-e31d-459c-ae39-73d2ff05f82d: Sackin index -0.1234; 1.9 s; peak memory 141 MiB.
2026-09-18T15:55:53Z INFO [40/500] 052546b7-3b2f-40ee-82f3-f4a3d36c268c: Sackin index -0.0376; 1.8 s; peak memory 141 MiB.
2026-09-18T15:55:57Z INFO [41/500] 0525811c-61ea-4c29-a3af-55323005658e: Sackin index -0.0933; 3.6 s; peak memory 141 MiB.
2026-09-18T15:55:59Z INFO [42/500] 0525dbb9-d22d-4e51-a108-34eed0f57f87: Sackin index -0.1938; 2.8 s; peak memory 141 MiB.
2026-09-18T15:56:01Z INFO [43/500] 052647fd-e28f-44d5-a7c1-8074f22757ab: Sackin index -0.1602; 1.3 s; peak memory 141 MiB.
2026-09-18T15:56:03Z INFO [44/500] 05264de3-8097-44dc-bd31-e104002edbda: Sackin index -0.0728; 2.0 s; peak memory 141 MiB.
2026-09-18T15:56:04Z INFO [45/500] 0526a3e7-40c2-41af-8bf5-76ef6ea64e83: Sackin index -0.1349; 1.4 s; peak memory 141 MiB.
2026-09-18T16:23:14Z INFO [46/500] 0526a42c-d2a3-49bf-98ed-f858a216e6f0: Sackin index -0.0307; 1629.7 s; peak memory 1087 MiB.
2026-09-18T16:23:15Z INFO [47/500] 0526c308-5dd4-44ee-bd02-ea610ed4965c: Sackin index -0.0709; 1.7 s; peak memory 1087 MiB.
2026-09-18T16:23:17Z INFO [48/500] 05272907-eac1-4083-b709-f71fb2b4429d: Sackin index -0.1349; 1.4 s; peak memory 1087 MiB.
2026-09-18T16:23:18Z INFO [49/500] 0527701a-2f59-40a3-908f-7e6cf134dcc9: Sackin index -0.1602; 1.5 s; peak memory 1087 MiB.
2026-09-18T16:23:22Z INFO [50/500] 0528b3c0-1d48-4ce8-8955-89c9127906c4: Sackin index -0.0869; 3.6 s; peak memory 1087 MiB.
2026-09-18T16:23:22Z INFO [50/500] 0528b3c0-1d48-4ce8-8955-89c9127906c4: checkpointed 49337 records.
2026-09-18T16:23:28Z INFO [51/500] 05294673-6cce-4a0f-ae49-94d839dd9be1: Sackin index -0.0403; 5.8 s; peak memory 1087 MiB.
2026-09-18T16:23:29Z INFO [52/500] 0529820d-d9b4-406d-8272-cdbe86f20be8: Sackin index -0.1658; 1.2 s; peak memory 1087 MiB.
2026-09-18T16:23:31Z INFO [53/500] 0529b167-b311-4838-9146-2affc1d70758: Sackin index -0.0702; 1.8 s; peak memory 1087 MiB.
2026-09-18T16:23:33Z INFO [54/500] 052a2e40-d431-4c8f-9f17-34b2c3d2b495: Sackin index -0.0728; 2.2 s; peak memory 1087 MiB.
2026-09-18T16:23:35Z INFO [55/500] 052a35af-2ecf-4cd8-a080-030515bec6c8: Sackin index -0.0375; 1.8 s; peak memory 1087 MiB.
2026-09-18T16:24:39Z INFO [56/500] 052acef7-8603-4d12-a7e8-549c8edb94f8: Sackin index -0.0174; 64.1 s; peak memory 1087 MiB.
