2026-09-18T18:54:05Z INFO Logging to /tmp/logs/update_2026-09-18T18-54-05Z.log.
2026-09-18T18:54:05Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-18T18:54:06Z INFO Processing 114 items (49787 already recorded).
2026-09-18T18:54:07Z INFO [1/114] 0618188e-14e0-4469-8b7e-836cc4a19454: Sackin index -0.0398; 1.7 s; peak memory 101 MiB.
2026-09-18T18:54:09Z INFO [2/114] 061835c6-1806-4dfa-8b04-1209b9673067: Sackin index -0.0369; 1.6 s; peak memory 101 MiB.
2026-09-18T18:54:10Z INFO [3/114] 0618b93b-7fd7-4afc-9110-a78b36a01131: Sackin index -0.1248; 0.9 s; peak memory 102 MiB.
2026-09-18T18:54:17Z INFO [4/114] 0618d989-b4cb-48b1-9bd2-2da5b91e19c3: Sackin index -0.0168; 7.0 s; peak memory 139 MiB.
2026-09-18T18:54:18Z INFO [5/114] 0618f873-3717-4c8c-b0ed-9a512b8c3a11: Sackin index -0.1448; 0.8 s; peak memory 139 MiB.
2026-09-18T18:54:19Z INFO [6/114] 06197ec9-bb44-4ed9-8ab8-ce3b737c4ff7: Sackin index -0.0728; 1.2 s; peak memory 139 MiB.
2026-09-18T18:54:20Z INFO [7/114] 061a8145-8925-4f1d-857e-5ebe170d4bd3: Sackin index -0.1658; 0.9 s; peak memory 139 MiB.
2026-09-18T18:54:21Z INFO [8/114] 061af0c3-ad52-4da6-a500-f81e2952319d: Sackin index -0.0457; 1.1 s; peak memory 140 MiB.
2026-09-18T18:54:22Z INFO [9/114] 061b0535-71e9-4f31-900e-40c8cae85d16: Sackin index -0.0369; 1.5 s; peak memory 140 MiB.
2026-09-18T18:54:24Z INFO [10/114] 061b386f-22d4-4f92-9f31-e5e838afa652: Sackin index -0.0275; 1.2 s; peak memory 140 MiB.
2026-09-18T18:54:24Z INFO [11/114] 061b3eb6-9ee2-4838-afc6-168036e64f69: Sackin index -0.1658; 0.5 s; peak memory 140 MiB.
2026-09-18T18:54:25Z INFO [12/114] 061b98ee-4721-453e-a6a8-2a9af672f144: Sackin index -0.1658; 0.6 s; peak memory 140 MiB.
2026-09-18T18:54:26Z INFO [13/114] 061bbe04-d740-4894-83ca-4043ae4c09d3: Sackin index -0.0728; 1.3 s; peak memory 140 MiB.
2026-09-18T18:54:27Z INFO [14/114] 061bea1d-3a14-4539-85e3-687abc974460: Sackin index -0.1349; 0.9 s; peak memory 140 MiB.
2026-09-18T18:54:31Z INFO [15/114] 061c10f1-8a97-4bf4-9245-aac3d3bd967f: Sackin index -0.0258; 4.1 s; peak memory 141 MiB.
2026-09-18T18:54:33Z INFO [16/114] 061c34b5-0547-4201-919c-297c5a87026f: Sackin index -0.0272; 1.9 s; peak memory 141 MiB.
2026-09-18T19:08:42Z INFO [17/114] 061d20f7-c542-410c-b417-af7f5e173818: Sackin index -0.0667; 849.1 s; peak memory 1111 MiB.
2026-09-18T19:08:43Z INFO [18/114] 061db240-adca-4ba5-a90a-f1ae5ac07397: Sackin index -0.0728; 1.3 s; peak memory 1111 MiB.
2026-09-18T19:08:44Z INFO [19/114] 061dc76c-6105-4ff6-803d-71815770e7d1: Sackin index -0.1349; 0.8 s; peak memory 1111 MiB.
2026-09-18T19:08:45Z INFO [20/114] 061dd4f8-2290-4d2d-a541-2cbacc98acd0: Sackin index -0.0702; 1.0 s; peak memory 1111 MiB.
2026-09-18T19:08:46Z INFO [21/114] 061e705b-25de-44e9-85c2-2dabf69d9b58: Sackin index -0.0379; 1.2 s; peak memory 1111 MiB.
2026-09-18T19:08:48Z INFO [22/114] 061edea9-7ab2-41d4-b8db-340904e1f96a: Sackin index -0.0350; 1.9 s; peak memory 1111 MiB.
2026-09-18T19:08:50Z INFO [23/114] 061ef96c-fb22-4520-a3f1-cc5bd29bd4df: Sackin index -0.1026; 1.5 s; peak memory 1111 MiB.
2026-09-18T19:08:51Z INFO [24/114] 061fbd89-8d96-47e9-997b-784fe94dc938: Sackin index -0.0728; 1.2 s; peak memory 1111 MiB.
2026-09-18T19:08:52Z INFO [25/114] 061ff426-931e-47ab-8df3-7972e0a928d1: Sackin index -0.0728; 1.5 s; peak memory 1111 MiB.
2026-09-18T19:08:53Z INFO [26/114] 06204752-aa72-4473-8216-0fc469392cd7: Sackin index -0.0715; 0.9 s; peak memory 1111 MiB.
2026-09-18T19:08:54Z INFO [27/114] 0621049b-6244-47b5-a775-90c537c5ea17: Sackin index -0.1303; 0.6 s; peak memory 1111 MiB.
2026-09-18T19:08:55Z INFO [28/114] 0621aba8-5151-4a6f-af47-60ee6db0cae5: Sackin index -0.1349; 0.9 s; peak memory 1111 MiB.
2026-09-18T19:08:56Z INFO [29/114] 0622341e-8be1-455c-9a8e-a2c7e3dc4b1b: Sackin index -0.0272; 1.6 s; peak memory 1111 MiB.
2026-09-18T19:09:01Z INFO [30/114] 0622b75a-099c-444a-8d00-991b2595c468: Sackin index -0.0455; 4.9 s; peak memory 1111 MiB.
2026-09-18T19:09:06Z INFO [31/114] 0622fa24-92f8-4db1-af6e-e708ad667d46: Sackin index -0.0415; 4.4 s; peak memory 1111 MiB.
2026-09-18T19:09:14Z INFO [32/114] 06243f9f-4c6f-4f3c-b9be-bb8310168042: Sackin index -0.0238; 8.3 s; peak memory 1111 MiB.
2026-09-18T19:09:15Z INFO [33/114] 0624bbc1-b9be-4f19-bd72-217a0cd0059f: Sackin index -0.1349; 0.9 s; peak memory 1111 MiB.
2026-09-18T19:09:16Z INFO [34/114] 0625454b-3c71-4c12-80d5-364cc5662786: Sackin index -0.0728; 1.0 s; peak memory 1111 MiB.
2026-09-18T19:09:17Z INFO [35/114] 06255cc8-583e-4b9c-ab49-2f99c67f85b6: Sackin index -0.1349; 0.9 s; peak memory 1111 MiB.
2026-09-18T19:09:18Z INFO [36/114] 06256cdc-1dfc-4e28-97c4-762a10292a0a: Sackin index -0.1349; 1.0 s; peak memory 1111 MiB.
2026-09-18T19:09:19Z INFO [37/114] 0625ee95-6044-4b3e-8732-e8d0e10cff24: Sackin index -0.1938; 1.5 s; peak memory 1111 MiB.
2026-09-18T19:09:24Z INFO [38/114] 06274a58-4672-4fd7-a657-5de59871f729: Sackin index -0.0487; 4.2 s; peak memory 1111 MiB.
2026-09-18T19:09:25Z INFO [39/114] 06275527-a527-49e3-a056-751d0651ff62: Sackin index -0.0732; 1.1 s; peak memory 1111 MiB.
2026-09-18T19:09:26Z INFO [40/114] 06279f06-3ffa-453b-83bf-0ec54af6bbce: Sackin index -0.1349; 0.9 s; peak memory 1111 MiB.
2026-09-18T19:09:28Z INFO [41/114] 06280f2a-32ee-4375-95a2-b9802dc7c8a4: Sackin index -0.0699; 2.0 s; peak memory 1111 MiB.
2026-09-18T19:09:29Z INFO [42/114] 06281662-2661-459e-99cc-c95a363aa43d: Sackin index -0.0375; 1.0 s; peak memory 1111 MiB.
2026-09-18T19:09:29Z INFO [43/114] 06288bf7-8da2-4207-99a3-a22f04bec5fb: Sackin index -0.1267; 0.8 s; peak memory 1111 MiB.
2026-09-18T19:09:30Z INFO [44/114] 0628f45e-a166-420a-83d7-05a08960fbf6: Sackin index -0.0709; 1.0 s; peak memory 1111 MiB.
2026-09-18T19:09:31Z INFO [45/114] 06292771-63f6-4f40-b178-f34ac24b656b: Sackin index -0.1148; 0.7 s; peak memory 1111 MiB.
2026-09-18T19:09:32Z INFO [46/114] 06296593-16c1-4f3a-8bef-712065d235ab: Sackin index -0.0387; 0.9 s; peak memory 1111 MiB.
2026-09-18T19:09:33Z INFO [47/114] 06297fda-fad5-407d-8ff6-279b2300a4a6: Sackin index -0.1248; 0.9 s; peak memory 1111 MiB.
2026-09-18T19:09:34Z INFO [48/114] 06298e72-8d52-48eb-87dc-defde3ebdd3f: Sackin index -0.0702; 1.0 s; peak memory 1111 MiB.
2026-09-18T19:09:44Z INFO [49/114] 062b119c-f494-4efa-97b1-8461a0e1d5fd: Sackin index -0.0116; 10.3 s; peak memory 1111 MiB.
2026-09-18T19:09:45Z INFO [50/114] 062b47a6-42ef-4588-bd13-37ddeac9c761: Sackin index -0.1349; 0.9 s; peak memory 1111 MiB.
2026-09-18T19:09:45Z INFO [50/114] 062b47a6-42ef-4588-bd13-37ddeac9c761: checkpointed 49837 records.
2026-09-18T19:09:46Z INFO [51/114] 062b6d52-a344-491e-87f7-f013e2458f98: Sackin index -0.1658; 0.6 s; peak memory 1111 MiB.
2026-09-18T19:09:47Z INFO [52/114] 062bee73-a15b-4e4b-83c7-9989c91de070: Sackin index -0.0696; 1.0 s; peak memory 1111 MiB.
2026-09-18T19:09:48Z INFO [53/114] 062ce444-4791-47d1-8d9c-8d6eb52df596: Sackin index -0.1349; 0.8 s; peak memory 1111 MiB.
2026-09-18T19:09:49Z INFO [54/114] 062d3b4a-4952-46a0-a895-f853dd3674d8: Sackin index -0.1349; 0.9 s; peak memory 1111 MiB.
2026-09-18T19:09:49Z INFO [55/114] 062d860e-5f83-4524-9a2b-63a1b9f77290: Sackin index -0.1658; 0.7 s; peak memory 1111 MiB.
2026-09-18T19:09:51Z INFO [56/114] 062d8774-c470-46c3-a0cb-472cf1f6211a: Sackin index -0.0941; 1.5 s; peak memory 1111 MiB.
2026-09-18T19:09:54Z INFO [57/114] 062e37b3-c1ea-4369-92a8-3305988befaf: Sackin index -0.0772; 3.1 s; peak memory 1111 MiB.
2026-09-18T19:09:55Z INFO [58/114] 062f0519-96fe-4124-b590-fd18d34c28fa: Sackin index -0.0728; 1.1 s; peak memory 1111 MiB.
2026-09-18T19:09:57Z INFO [59/114] 062f71af-977a-4570-aadf-0d53c7fcaf34: Sackin index -0.0375; 1.4 s; peak memory 1111 MiB.
2026-09-18T19:09:58Z INFO [60/114] 0630e495-2357-4782-ace1-0413c4179f74: Sackin index -0.0696; 1.0 s; peak memory 1111 MiB.
2026-09-18T19:09:58Z INFO [61/114] 06315c81-1db7-4a5e-a867-725faef7b3e1: Sackin index -0.0715; 0.8 s; peak memory 1111 MiB.
2026-09-18T19:09:59Z INFO [62/114] 0631c5ab-cfb0-446a-a8d6-015217a58bdf: Sackin index -0.0702; 1.1 s; peak memory 1111 MiB.
2026-09-18T19:10:00Z INFO [63/114] 063234d5-8191-4727-9b6f-320bdbae42fb: Sackin index -0.1349; 0.9 s; peak memory 1111 MiB.
2026-09-18T19:10:02Z INFO [64/114] 0633997c-909e-4a6f-8fe2-43742d96d394: Sackin index -0.0676; 1.7 s; peak memory 1111 MiB.
2026-09-18T19:10:11Z INFO [65/114] 06342620-0d87-4635-8e61-bf806bfbf1ae: Sackin index -0.0109; 9.4 s; peak memory 1111 MiB.
2026-09-18T19:10:13Z INFO [66/114] 06357054-2c64-4fdf-81de-d511f5ee1124: Sackin index -0.1709; 1.8 s; peak memory 1111 MiB.
2026-09-18T19:10:18Z INFO [67/114] 0635ad8c-2bcf-4dad-a782-84297ee261bd: Sackin index -0.0219; 4.4 s; peak memory 1111 MiB.
2026-09-18T19:10:19Z INFO [68/114] 063665e4-5815-4e56-b2a7-adf95aef4402: Sackin index -0.0709; 1.0 s; peak memory 1111 MiB.
2026-09-18T19:10:20Z INFO [69/114] 06374223-a883-4cbe-a595-1d39d063a18a: Sackin index -0.0368; 1.0 s; peak memory 1111 MiB.
2026-09-18T19:11:58Z INFO [70/114] 0637499a-79bb-43aa-9166-c508ccded85d: Sackin index -0.0573; 98.8 s; peak memory 1111 MiB.
2026-09-18T19:11:59Z INFO [71/114] 06384e41-2d4f-49be-9b00-bbaddee03d50: Sackin index -0.1340; 0.7 s; peak memory 1111 MiB.
2026-09-18T19:12:00Z INFO [72/114] 06384e4a-2157-454c-b00d-2678b11a3fb9: Sackin index -0.0702; 1.1 s; peak memory 1111 MiB.
2026-09-18T19:12:01Z INFO [73/114] 06387e57-5933-47c7-8769-d5859e4de41d: Sackin index -0.1191; 0.7 s; peak memory 1111 MiB.
2026-09-18T19:12:02Z INFO [74/114] 06392758-6031-43d5-a391-85e44c48d724: Sackin index -0.1000; 1.1 s; peak memory 1111 MiB.
2026-09-18T19:12:03Z INFO [75/114] 06397cef-43c7-453c-a09a-8abffcc45bdf: Sackin index -0.1349; 0.8 s; peak memory 1111 MiB.
2026-09-18T19:12:04Z INFO [76/114] 0639875c-f3cd-4a0d-b430-8456112044e0: Sackin index -0.0676; 1.4 s; peak memory 1111 MiB.
2026-09-18T19:12:06Z INFO [77/114] 0639c4c1-b239-4abf-ba72-67897b411478: Sackin index -0.1938; 1.5 s; peak memory 1111 MiB.
2026-09-18T19:12:07Z INFO [78/114] 063a8c80-e733-4305-9c05-db0467ffcc99: Sackin index -0.0702; 1.0 s; peak memory 1111 MiB.
