2026-09-19T18:26:23Z INFO Logging to /tmp/logs/update_2026-09-19T18-26-23Z.log.
2026-09-19T18:26:23Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-19T18:26:23Z INFO Processing 350 items (50643 already recorded).
2026-09-19T18:26:24Z INFO [1/350] 07d17707-5744-457b-9ada-c38a3b701d6c: Sackin index -0.1658; 1.8 s; peak memory 98 MiB.
2026-09-19T18:26:44Z INFO [2/350] 07d2197b-1d21-43a6-b02d-b63e90d90766: Sackin index -0.0157; 19.9 s; peak memory 146 MiB.
2026-09-19T18:26:45Z INFO [3/350] 07d22923-b0e5-4a9c-97e9-2fc09c8a851d: Sackin index -0.1448; 1.1 s; peak memory 146 MiB.
2026-09-19T18:26:47Z INFO [4/350] 07d3e160-9547-441c-a219-7fa1f0401bca: Sackin index -0.0696; 1.6 s; peak memory 146 MiB.
2026-09-19T18:26:48Z INFO [5/350] 07d5c3dd-008b-4d8b-a3bd-3cc9e32876c1: Sackin index -0.1349; 1.4 s; peak memory 147 MiB.
2026-09-19T18:36:04Z INFO [6/350] 07d636ff-4a82-47b8-a05f-bc9d57ab031a: Sackin index -0.0668; 555.2 s; peak memory 1076 MiB.
2026-09-19T18:36:06Z INFO [7/350] 07d72b1a-53bb-4c15-8579-dd0ec755c8c7: Sackin index -0.0569; 2.1 s; peak memory 1076 MiB.
2026-09-19T18:36:07Z INFO [8/350] 07d76209-673e-4969-a6fb-db8e1639ea9b: Sackin index -0.1349; 1.4 s; peak memory 1076 MiB.
2026-09-19T18:36:09Z INFO [9/350] 07d78a42-a69e-4cd7-b94a-84bca52920f6: Sackin index -0.0702; 1.7 s; peak memory 1076 MiB.
2026-09-19T18:36:10Z INFO [10/350] 07d800de-accc-4516-bed8-053b2efd1dab: Sackin index -0.0722; 1.5 s; peak memory 1076 MiB.
2026-09-19T18:36:13Z INFO [11/350] 07d82d14-e18d-4df1-88fd-3546be871c28: Sackin index -0.0350; 2.8 s; peak memory 1076 MiB.
2026-09-19T18:36:15Z INFO [12/350] 07d89457-0889-49cc-8d3e-c540afd2b0eb: Sackin index -0.0702; 1.8 s; peak memory 1076 MiB.
2026-09-19T18:36:17Z INFO [13/350] 07d8c794-78a7-4241-ab34-d74b6d98883a: Sackin index -0.0702; 1.8 s; peak memory 1076 MiB.
2026-09-19T18:36:18Z INFO [14/350] 07d92147-0431-40fc-8b4f-c448106197a0: Sackin index -0.0696; 1.8 s; peak memory 1076 MiB.
2026-09-19T18:36:20Z INFO [15/350] 07d9471c-523e-4d42-980d-beb5439c92ad: Sackin index -0.0376; 1.9 s; peak memory 1076 MiB.
2026-09-19T18:36:22Z INFO [16/350] 07d949ed-2203-4956-981c-4d6357414808: Sackin index -0.1349; 1.4 s; peak memory 1076 MiB.
2026-09-19T18:36:23Z INFO [17/350] 07dafa4b-a16c-4116-8d3e-bc08f249d790: Sackin index -0.1254; 1.5 s; peak memory 1076 MiB.
2026-09-19T18:36:25Z INFO [18/350] 07dc4dd1-383d-4379-b0cd-89ba6fb8fc63: Sackin index -0.1349; 1.4 s; peak memory 1076 MiB.
2026-09-19T18:36:27Z INFO [19/350] 07dc863e-32f2-4620-ba8f-1232141d821a: Sackin index -0.0728; 2.0 s; peak memory 1076 MiB.
2026-09-19T18:36:28Z INFO [20/350] 07dc8987-4d71-40f4-9b47-04ee0c8d0393: Sackin index -0.1349; 1.3 s; peak memory 1076 MiB.
2026-09-19T18:36:30Z INFO [21/350] 07de49c0-dc3b-40b7-a974-d9403eb574f0: Sackin index -0.1390; 1.7 s; peak memory 1076 MiB.
2026-09-19T18:36:32Z INFO [22/350] 07de4be5-3529-4981-b5f9-16328436f245: Sackin index -0.0728; 2.3 s; peak memory 1076 MiB.
2026-09-19T18:36:33Z INFO [23/350] 07de9bf1-1556-4866-8e1e-665234b7ef72: Sackin index -0.1331; 1.3 s; peak memory 1076 MiB.
2026-09-19T18:36:35Z INFO [24/350] 07df0097-8762-4eb3-bd27-3aafdf55680e: Sackin index -0.0696; 1.6 s; peak memory 1076 MiB.
2026-09-19T18:36:36Z INFO [25/350] 07df80ab-264b-49b0-b6da-c30e4ad97140: Sackin index -0.1349; 1.4 s; peak memory 1076 MiB.
2026-09-19T18:36:37Z INFO [26/350] 07dff4fc-3a00-489c-aa50-e31507f687e1: Sackin index -0.1349; 1.3 s; peak memory 1076 MiB.
2026-09-19T18:36:41Z INFO [27/350] 07e0b373-1974-4570-a650-5981a198b6c6: Sackin index -0.0693; 3.2 s; peak memory 1076 MiB.
2026-09-19T18:36:43Z INFO [28/350] 07e1d576-e25d-4b5b-b07c-c6b26284059d: Sackin index -0.0379; 1.9 s; peak memory 1076 MiB.
2026-09-19T18:36:44Z INFO [29/350] 07e1f175-b3ca-4477-9a15-7b50829e7e73: Sackin index -0.1658; 1.1 s; peak memory 1076 MiB.
2026-09-19T18:37:04Z INFO [30/350] 07e2cccb-f64e-427d-8c86-ab646a03a77b: Sackin index -0.0160; 20.4 s; peak memory 1076 MiB.
2026-09-19T18:37:06Z INFO [31/350] 07e2fb62-535f-4870-b7d0-5b1c88b88901: Sackin index -0.0702; 1.8 s; peak memory 1076 MiB.
2026-09-19T18:37:07Z INFO [32/350] 07e3c1ab-21bd-43f3-9584-d7d988a1ede0: Sackin index -0.0881; 1.4 s; peak memory 1076 MiB.
2026-09-19T18:37:12Z INFO [33/350] 07e4474a-801d-435c-8b5d-5c8926048295: Sackin index -0.0442; 4.8 s; peak memory 1076 MiB.
2026-09-19T18:37:15Z INFO [34/350] 07e45041-7eb1-4427-938d-a63ac89a3b5e: Sackin index -0.0842; 3.0 s; peak memory 1076 MiB.
2026-09-19T18:37:17Z INFO [35/350] 07e505b4-debc-4db9-b476-3388db0314d8: Sackin index -0.1349; 1.3 s; peak memory 1076 MiB.
2026-09-19T18:37:25Z INFO [36/350] 07e518af-439f-4112-bf68-4764b1d86fad: Sackin index -0.0252; 8.6 s; peak memory 1076 MiB.
