2026-09-19T22:08:52Z INFO Logging to /tmp/logs/update_2026-09-19T22-08-52Z.log.
2026-09-19T22:08:52Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-19T22:08:52Z INFO Processing 380 items (50993 already recorded).
2026-09-19T22:08:54Z INFO [1/380] 0898be14-ae35-4173-89b8-5664f9265fac: Sackin index -0.1009; 1.7 s; peak memory 98 MiB.
2026-09-19T22:08:56Z INFO [2/380] 0899659b-632a-4625-8c47-c604d52c4ec4: Sackin index -0.0272; 2.0 s; peak memory 101 MiB.
2026-09-19T22:08:58Z INFO [3/380] 0899bb25-53b3-44a9-9bca-c69d2fec79e6: Sackin index -0.0728; 1.7 s; peak memory 104 MiB.
2026-09-19T22:09:00Z INFO [4/380] 089a0ee7-db2a-4c57-a98f-df97d5239ac6: Sackin index -0.0276; 2.0 s; peak memory 105 MiB.
2026-09-19T22:09:01Z INFO [5/380] 089a48a4-b0ff-496a-b956-813aec478d4f: Sackin index -0.0728; 1.3 s; peak memory 105 MiB.
2026-09-19T22:09:02Z INFO [6/380] 089ad34a-4f83-428a-87a5-9b4ebc77a77f: Sackin index -0.1356; 1.4 s; peak memory 105 MiB.
2026-09-19T22:09:04Z INFO [7/380] 089bbcdb-5bfc-496f-ab70-739052bcf2ae: Sackin index -0.0728; 1.7 s; peak memory 106 MiB.
2026-09-19T22:09:06Z INFO [8/380] 089bd9fe-59a3-4606-985a-ae814213356a: Sackin index -0.1117; 1.6 s; peak memory 106 MiB.
2026-09-19T22:09:36Z INFO [9/380] 089ce0d8-aa11-4422-b702-d7efe07b74ec: Sackin index -0.0024; 30.8 s; peak memory 192 MiB.
2026-09-19T22:11:15Z INFO [10/380] 089d02a4-e17c-4fc6-94b4-6344ef0b7409: Sackin index -0.0414; 98.8 s; peak memory 263 MiB.
2026-09-19T22:11:18Z INFO [11/380] 089d4abe-40df-4f1f-bfc2-10a38008d6ee: Sackin index -0.1938; 2.5 s; peak memory 263 MiB.
2026-09-19T22:11:19Z INFO [12/380] 089d5105-149e-41fe-ae11-ddbc019ba88c: Sackin index -0.0385; 1.3 s; peak memory 263 MiB.
2026-09-19T22:11:30Z INFO [13/380] 089ebc19-73b4-48fb-aa6b-fa12f7f2c189: Sackin index -0.0442; 10.5 s; peak memory 263 MiB.
2026-09-19T22:11:31Z INFO [14/380] 089efcd5-8f97-4fd8-9161-5bf0819146a5: Sackin index -0.0702; 1.6 s; peak memory 263 MiB.
2026-09-19T22:11:33Z INFO [15/380] 089f199d-92ce-45c9-a01f-61a48bc3daac: Sackin index -0.0728; 1.7 s; peak memory 263 MiB.
2026-09-19T22:11:37Z INFO [16/380] 089f4a7f-f925-489f-8514-9057f7d3d49f: Sackin index -0.1266; 3.8 s; peak memory 263 MiB.
2026-09-19T22:11:38Z INFO [17/380] 089fe784-6455-49fe-8e6e-34fb5f759199: Sackin index -0.1349; 1.3 s; peak memory 263 MiB.
2026-09-19T22:11:39Z INFO [18/380] 08a030d4-5816-466d-aeaa-1a255883ceb5: Sackin index -0.1349; 1.2 s; peak memory 263 MiB.
2026-09-19T22:11:40Z INFO [19/380] 08a0e7b2-6fc7-435e-b7c3-231296a531b6: Sackin index -0.1349; 1.2 s; peak memory 263 MiB.
2026-09-19T22:11:45Z INFO [20/380] 08a16538-08cd-4d71-989e-5e77fa016460: Sackin index -0.0818; 4.5 s; peak memory 263 MiB.
2026-09-19T22:11:46Z INFO [21/380] 08a1b7e6-284b-47c4-97d4-8b467e309dfe: Sackin index -0.0881; 1.4 s; peak memory 263 MiB.
2026-09-19T22:11:48Z INFO [22/380] 08a20add-4d94-4287-9dc3-ad9d98dd438b: Sackin index -0.0735; 1.8 s; peak memory 263 MiB.
2026-09-19T22:11:51Z INFO [23/380] 08a3aa36-957b-4992-bb70-4bae722f6f5c: Sackin index -0.0660; 3.4 s; peak memory 263 MiB.
2026-09-19T22:11:53Z INFO [24/380] 08a3c91d-ed69-4c77-9e85-840f00edde31: Sackin index -0.1239; 1.1 s; peak memory 263 MiB.
2026-09-19T22:11:54Z INFO [25/380] 08a4245f-41b6-4e78-be4d-e40c1a1fcc47: Sackin index -0.0375; 1.7 s; peak memory 263 MiB.
2026-09-19T22:12:16Z INFO [26/380] 08a4b61f-9b8c-4fd5-abfc-819e97bfc1a7: Sackin index -0.0201; 22.1 s; peak memory 263 MiB.
2026-09-19T22:12:18Z INFO [27/380] 08a4ebae-704c-4f5d-8de5-0cc75eca27b9: Sackin index -0.0881; 1.6 s; peak memory 263 MiB.
2026-09-19T22:12:19Z INFO [28/380] 08a619b6-16d4-4a82-ae96-4a9f6a76175b: Sackin index -0.0696; 1.3 s; peak memory 263 MiB.
2026-09-19T22:12:20Z INFO [29/380] 08a6642d-a3e3-4506-975a-402610871a6e: Sackin index -0.1178; 1.0 s; peak memory 263 MiB.
2026-09-19T22:12:22Z INFO [30/380] 08a704af-76fd-4644-b066-d6fd8a4e93e5: Sackin index -0.0702; 1.5 s; peak memory 263 MiB.
2026-09-19T22:12:23Z INFO [31/380] 08a70bcc-05c6-4f06-a742-d21a909aedc5: Sackin index -0.1161; 0.9 s; peak memory 263 MiB.
2026-09-19T22:12:24Z INFO [32/380] 08a71f4f-d90d-4b1b-95d6-2da76ca62da2: Sackin index -0.0376; 1.5 s; peak memory 263 MiB.
2026-09-19T22:12:26Z INFO [33/380] 08a8817c-a65b-4fa4-b600-bfdad529516c: Sackin index -0.1408; 1.7 s; peak memory 263 MiB.
2026-09-19T22:12:27Z INFO [34/380] 08a8e683-81f5-4012-ba08-eba1a0579f4c: Sackin index -0.1272; 0.9 s; peak memory 263 MiB.
2026-09-19T22:12:29Z INFO [35/380] 08a8fb76-78e4-45e0-8df3-a5a8236d02b5: Sackin index -0.1072; 2.3 s; peak memory 263 MiB.
2026-09-19T22:12:36Z INFO [36/380] 08a958a5-75d1-4f02-b6b9-7505eb18c9b0: Sackin index -0.0232; 7.3 s; peak memory 263 MiB.
2026-09-19T22:12:37Z INFO [37/380] 08a96b90-c941-419b-bf64-fc9533abe4a9: Sackin index -0.1303; 1.0 s; peak memory 263 MiB.
2026-09-19T22:12:52Z INFO [38/380] 08aa9dc3-aca2-465a-9209-9f7c4b989fdd: Sackin index -0.0117; 14.4 s; peak memory 263 MiB.
2026-09-19T22:12:59Z INFO [39/380] 08aaa6ed-67b2-4faf-b215-72f3e8c50300: Sackin index -0.0614; 6.9 s; peak memory 263 MiB.
2026-09-19T22:13:00Z INFO [40/380] 08aaaae1-8e22-4f1a-9db7-c064a82966f0: Sackin index -0.0702; 1.5 s; peak memory 263 MiB.
2026-09-19T22:13:02Z INFO [41/380] 08ab40d8-51f8-4cec-9c48-d428ce7b7074: Sackin index -0.0728; 1.8 s; peak memory 263 MiB.
2026-09-19T22:13:04Z INFO [42/380] 08ab8376-42c0-4f10-b908-3f641b188c76: Sackin index -0.0738; 2.0 s; peak memory 263 MiB.
2026-09-19T22:13:05Z INFO [43/380] 08ac4ef8-26f1-45b9-af83-d33b6330dd77: Sackin index -0.2073; 1.0 s; peak memory 263 MiB.
2026-09-19T22:13:07Z INFO [44/380] 08ac64dd-d873-4e4c-b728-32ef98e1ac79: Sackin index -0.0728; 1.5 s; peak memory 263 MiB.
2026-09-19T22:13:08Z INFO [45/380] 08ac9830-4cc3-47ab-8767-24e26c29ca3b: Sackin index -0.0728; 1.7 s; peak memory 263 MiB.
2026-09-19T22:13:10Z INFO [46/380] 08acb4d1-f026-4890-91f5-7e8a5cc44d22: Sackin index -0.0375; 1.7 s; peak memory 263 MiB.
2026-09-19T22:13:12Z INFO [47/380] 08ad17f8-c76a-4924-a24f-c0c9b98aab76: Sackin index -0.0375; 1.8 s; peak memory 263 MiB.
2026-09-19T22:13:22Z INFO [48/380] 08ad9b6f-faa8-4744-95de-e279991e782f: Sackin index -0.0140; 9.7 s; peak memory 263 MiB.
2026-09-19T22:13:23Z INFO [49/380] 08aec36e-73e0-4dfe-9e67-167657839931: Sackin index -0.1291; 1.7 s; peak memory 263 MiB.
2026-09-19T22:13:24Z INFO [50/380] 08b01214-2af6-4602-9259-f1632508dc05: Sackin index -0.1349; 1.2 s; peak memory 263 MiB.
2026-09-19T22:13:25Z INFO [50/380] 08b01214-2af6-4602-9259-f1632508dc05: checkpointed 51043 records.
2026-09-19T22:13:26Z INFO [51/380] 08b1cd54-7359-442f-a9b0-0d991c180b6f: Sackin index -0.1164; 1.0 s; peak memory 263 MiB.
2026-09-19T22:13:38Z INFO [52/380] 08b25532-cb58-4b3a-8208-4a80e1a2ad4c: Sackin index -0.0776; 12.7 s; peak memory 263 MiB.
2026-09-19T22:13:40Z INFO [53/380] 08b255b6-08ca-4151-b13a-ed88113166cf: Sackin index -0.0707; 1.3 s; peak memory 263 MiB.
2026-09-19T22:13:52Z INFO [54/380] 08b2bc6d-0ae5-4087-ab7e-2fab0d7527ca: Sackin index -0.0253; 12.6 s; peak memory 263 MiB.
2026-09-19T22:13:53Z INFO [55/380] 08b2c281-c914-42a0-bfca-c17ba1c96f82: Sackin index -0.1349; 1.2 s; peak memory 263 MiB.
2026-09-19T22:13:54Z INFO [56/380] 08b3c8c9-4722-47ad-89db-58dbfade377b: Sackin index -0.1938; 1.1 s; peak memory 263 MiB.
2026-09-19T22:13:56Z INFO [57/380] 08b3df21-9dde-4c20-b11f-41918f31955f: Sackin index -0.1349; 1.2 s; peak memory 263 MiB.
2026-09-19T22:13:57Z INFO [58/380] 08b4cf72-7180-4d2f-b568-9ab5d742566b: Sackin index -0.1731; 1.1 s; peak memory 263 MiB.
2026-09-19T22:13:58Z INFO [59/380] 08b5a0bd-0c49-4f1e-a6b0-14f532f2f27e: Sackin index -0.1466; 1.0 s; peak memory 263 MiB.
2026-09-19T22:13:59Z INFO [60/380] 08b7c24b-a5f6-4621-896c-8e6877ef5685: Sackin index -0.0376; 1.7 s; peak memory 263 MiB.
2026-09-19T22:14:00Z INFO [61/380] 08b879db-a252-4da9-a4fc-7dea905b23d5: Sackin index -0.1448; 0.9 s; peak memory 263 MiB.
2026-09-19T22:55:18Z INFO [62/380] 08b887e2-fe7d-4e7c-b37e-89f514576184: Sackin index -0.0175; 2477.8 s; peak memory 1099 MiB.
2026-09-19T22:55:31Z INFO [63/380] 08b8c508-fa2f-4e84-ab95-c7a32831167d: Sackin index -0.0166; 12.9 s; peak memory 1099 MiB.
2026-09-19T22:55:32Z INFO [64/380] 08ba57ef-a3b5-4256-9b68-7ed375a768c0: Sackin index -0.1349; 1.1 s; peak memory 1099 MiB.
2026-09-19T22:55:34Z INFO [65/380] 08ba74d1-9da1-4a5c-9c21-8960c21a1d38: Sackin index -0.0376; 1.5 s; peak memory 1099 MiB.
2026-09-19T22:55:37Z INFO [66/380] 08baba3c-a7b6-49e7-88f9-130e9733afd7: Sackin index -0.0539; 3.8 s; peak memory 1099 MiB.
2026-09-19T22:55:39Z INFO [67/380] 08bcdcc2-4abf-4d72-ad9a-79e18d573592: Sackin index -0.1349; 1.0 s; peak memory 1099 MiB.
2026-09-19T22:55:40Z INFO [68/380] 08bd98e8-cedb-4438-8be8-9143eacc8d38: Sackin index -0.0272; 2.0 s; peak memory 1099 MiB.
2026-09-19T22:55:44Z INFO [69/380] 08bddb1b-3a6c-4eac-a904-e7ebb2dde5f5: Sackin index -0.0365; 3.3 s; peak memory 1099 MiB.
2026-09-19T22:55:47Z INFO [70/380] 08bdde18-ab53-4087-b98e-b43ac0ca0ea2: Sackin index -0.0692; 3.2 s; peak memory 1099 MiB.
2026-09-19T23:05:42Z INFO [71/380] 08bddfeb-86ca-4954-9892-6ebc1295b62e: Sackin index -0.0915; 595.4 s; peak memory 1099 MiB.
2026-09-19T23:05:44Z INFO [72/380] 08bef113-4f28-46a5-814e-1a591d446b59: Sackin index -0.1273; 1.6 s; peak memory 1099 MiB.
2026-09-19T23:05:46Z INFO [73/380] 08bf1500-d261-4e69-a87e-5d45fadd9672: Sackin index -0.1000; 1.5 s; peak memory 1099 MiB.
2026-09-19T23:05:54Z INFO [74/380] 08bf3dbd-e66b-40d5-91fa-912b617c8e3a: Sackin index -0.0203; 8.2 s; peak memory 1099 MiB.
2026-09-19T23:06:19Z INFO [75/380] 08bfa495-6462-4797-a9f1-db5f350eac6d: Sackin index -0.0112; 24.9 s; peak memory 1099 MiB.
2026-09-19T23:06:24Z INFO [76/380] 08c04799-cf65-4481-bf52-71369e093872: Sackin index -0.0403; 5.3 s; peak memory 1099 MiB.
2026-09-19T23:06:26Z INFO [77/380] 08c077a6-ba1d-4c96-b835-489c9b7288a6: Sackin index -0.0745; 1.8 s; peak memory 1099 MiB.
2026-09-19T23:06:27Z INFO [78/380] 08c092b9-d7ff-4329-9827-71f29b319d68: Sackin index -0.1349; 1.2 s; peak memory 1099 MiB.
2026-09-19T23:06:28Z INFO [79/380] 08c151e6-c3be-4164-91a7-ad4c58cbb0d8: Sackin index -0.0702; 1.3 s; peak memory 1099 MiB.
2026-09-19T23:06:44Z INFO [80/380] 08c17d3f-d32c-44b1-bedc-8c3493caae70: Sackin index -0.1367; 16.0 s; peak memory 1099 MiB.
2026-09-19T23:06:59Z INFO [81/380] 08c22356-5153-4662-907e-744d7e0ffd27: Sackin index -0.0133; 14.5 s; peak memory 1099 MiB.
2026-09-19T23:07:15Z INFO [82/380] 08c3c40f-a015-4558-98fc-fefdcfd48f9f: Sackin index -0.1367; 16.4 s; peak memory 1099 MiB.
2026-09-19T23:07:17Z INFO [83/380] 08c3e455-48c7-475e-bfbc-6bdad9755519: Sackin index -0.1062; 1.5 s; peak memory 1099 MiB.
2026-09-19T23:07:18Z INFO [84/380] 08c40b2b-0a36-4c3c-a104-15b455e9d212: Sackin index -0.0369; 1.9 s; peak memory 1099 MiB.
2026-09-19T23:07:20Z INFO [85/380] 08c56fd2-4de9-4b38-b08a-3889131d9e1f: Sackin index -0.1349; 1.1 s; peak memory 1099 MiB.
2026-09-19T23:07:21Z INFO [86/380] 08c5aeab-61c5-4740-b868-395d37c99ebb: Sackin index -0.0745; 1.7 s; peak memory 1099 MiB.
2026-09-19T23:07:24Z INFO [87/380] 08c690b2-be3d-4e62-b05c-122fc5662bb2: Sackin index -0.1224; 2.3 s; peak memory 1099 MiB.
2026-09-19T23:07:28Z INFO [88/380] 08c79fe8-aeba-4dd2-be13-dfc4f8680b96: Sackin index -0.1310; 4.6 s; peak memory 1099 MiB.
2026-09-19T23:07:30Z INFO [89/380] 08c831fe-bf43-4147-90e5-b66b0871e57f: Sackin index -0.0483; 1.7 s; peak memory 1099 MiB.
2026-09-19T23:07:31Z INFO [90/380] 08c8588f-3ff3-4e33-b0f1-bcea4415ea72: Sackin index -0.1349; 1.1 s; peak memory 1099 MiB.
2026-09-19T23:07:32Z INFO [91/380] 08c966d5-5542-4d11-8b99-9a8a707cc658: Sackin index -0.0696; 1.6 s; peak memory 1099 MiB.
2026-09-19T23:07:34Z INFO [92/380] 08c96f40-7417-4a2a-9202-59f4ec61eaef: Sackin index -0.1349; 1.1 s; peak memory 1099 MiB.
2026-09-19T23:07:42Z INFO [93/380] 08cb3bd6-a316-49f5-b903-5f715afc8a4f: Sackin index -0.0022; 8.1 s; peak memory 1099 MiB.
2026-09-19T23:07:57Z INFO [94/380] 08cb6d93-e43f-4e2c-b500-902fa4b84e60: Sackin index -0.0235; 14.9 s; peak memory 1099 MiB.
2026-09-19T23:08:08Z INFO [95/380] 08cc8b57-4e3a-4fdf-b848-668f84bc6c3a: Sackin index -0.0150; 11.2 s; peak memory 1099 MiB.
2026-09-19T23:08:09Z INFO [96/380] 08cc9215-ee76-4688-897e-436006d71976: Sackin index -0.1938; 1.0 s; peak memory 1099 MiB.
2026-09-19T23:08:10Z INFO [97/380] 08cd36f0-3571-43bc-82c3-5c1cf855d19e: Sackin index -0.1349; 1.1 s; peak memory 1099 MiB.
2026-09-19T23:08:15Z INFO [98/380] 08cd6c82-17c3-4fa2-bc82-4103f3e3050a: Sackin index -0.0403; 5.6 s; peak memory 1099 MiB.
2026-09-19T23:08:17Z INFO [99/380] 08cd6d4b-f8dc-4583-87d9-7fa55e0d63af: Sackin index -0.0376; 1.7 s; peak memory 1099 MiB.
2026-09-19T23:08:19Z INFO [100/380] 08cdc315-592c-44b3-9a1a-f755642f1427: Sackin index -0.0967; 1.3 s; peak memory 1099 MiB.
2026-09-19T23:08:19Z INFO [100/380] 08cdc315-592c-44b3-9a1a-f755642f1427: checkpointed 51093 records.
2026-09-19T23:08:20Z INFO [101/380] 08cdc8d2-0e3e-47db-9da4-3402a7a004fe: Sackin index -0.1602; 1.4 s; peak memory 1099 MiB.
2026-09-19T23:08:21Z INFO [102/380] 08cdfc8c-f34b-4b67-bdbe-3ebbf9c93824: Sackin index -0.1356; 1.0 s; peak memory 1099 MiB.
2026-09-19T23:08:22Z INFO [103/380] 08ce5118-9f3c-4489-ad0e-5c42c8a246af: Sackin index -0.0702; 1.3 s; peak memory 1099 MiB.
2026-09-19T23:08:24Z INFO [104/380] 08ce5eee-3f40-4b1d-bc79-106b730f7aed: Sackin index -0.0696; 1.4 s; peak memory 1099 MiB.
2026-09-19T23:08:26Z INFO [105/380] 08ce7d84-e466-430a-a54e-51d7c74d9860: Sackin index -0.0679; 2.5 s; peak memory 1099 MiB.
2026-09-19T23:08:28Z INFO [106/380] 08d05fed-98b6-4a80-910c-985638fc8442: Sackin index -0.1273; 1.4 s; peak memory 1099 MiB.
2026-09-19T23:08:31Z INFO [107/380] 08d0a5bf-3bf0-455b-a114-5ee056ead9f3: Sackin index -0.0660; 3.3 s; peak memory 1099 MiB.
2026-09-19T23:08:32Z INFO [108/380] 08d0d061-e73c-43c0-a70c-b1272cfe03f0: Sackin index -0.1349; 1.2 s; peak memory 1099 MiB.
2026-09-19T23:08:34Z INFO [109/380] 08d11f74-ed20-415e-a341-ea7a126121ba: Sackin index -0.0728; 1.9 s; peak memory 1099 MiB.
2026-09-19T23:08:35Z INFO [110/380] 08d12504-0304-4c23-9a2f-17ef4c52088a: Sackin index -0.1349; 1.3 s; peak memory 1099 MiB.
2026-09-19T23:08:37Z INFO [111/380] 08d135fb-071a-4e37-8e98-116649946747: Sackin index -0.1273; 1.5 s; peak memory 1099 MiB.
2026-09-19T23:08:38Z INFO [112/380] 08d169d2-9255-4be5-b9eb-b0e48debda7d: Sackin index -0.0702; 1.5 s; peak memory 1099 MiB.
2026-09-19T23:08:39Z INFO [113/380] 08d26189-31fa-45b3-8ad3-024cf59dc74c: Sackin index -0.1223; 0.9 s; peak memory 1099 MiB.
2026-09-19T23:08:42Z INFO [114/380] 08d26757-c3f8-4bbe-9914-5df862d060e9: Sackin index -0.0676; 2.5 s; peak memory 1099 MiB.
2026-09-19T23:08:43Z INFO [115/380] 08d31910-1e27-4e5e-bfc8-072d8429539d: Sackin index -0.1938; 1.0 s; peak memory 1099 MiB.
2026-09-19T23:08:44Z INFO [116/380] 08d48be9-e98b-485a-91af-4c5dfeb21f4d: Sackin index -0.1349; 1.2 s; peak memory 1099 MiB.
2026-09-19T23:08:47Z INFO [117/380] 08d4aeb2-ab52-4789-8d28-c4ca4c0cfba7: Sackin index -0.0660; 3.4 s; peak memory 1099 MiB.
2026-09-19T23:08:49Z INFO [118/380] 08d4fc16-180b-4539-85a0-063d965d5608: Sackin index -0.0745; 2.0 s; peak memory 1099 MiB.
2026-09-19T23:08:51Z INFO [119/380] 08d65518-c538-4ad1-a3cd-c9b6c82bcb24: Sackin index -0.1349; 1.2 s; peak memory 1099 MiB.
2026-09-19T23:08:52Z INFO [120/380] 08d6c5b6-2aad-4b9f-adcc-956bf6f2e7f6: Sackin index -0.0275; 1.9 s; peak memory 1099 MiB.
2026-09-19T23:08:54Z INFO [121/380] 08d6c838-6ef3-4de7-bb3d-f5ae89507cfd: Sackin index -0.0380; 1.5 s; peak memory 1099 MiB.
2026-09-19T23:08:55Z INFO [122/380] 08d6df98-8227-4228-811d-d30c03901b40: Sackin index -0.1000; 1.4 s; peak memory 1099 MiB.
2026-09-19T23:09:11Z INFO [123/380] 08d721fd-012c-45bf-aa2e-cd2ece6b23f4: Sackin index -0.0389; 15.7 s; peak memory 1099 MiB.
2026-09-19T23:09:12Z INFO [124/380] 08d7794f-79ad-47e5-9994-5895082b99a1: Sackin index -0.0760; 1.4 s; peak memory 1099 MiB.
2026-09-19T23:09:14Z INFO [125/380] 08d7e54c-88a4-4f00-89a5-344c0c93281e: Sackin index -0.1658; 1.3 s; peak memory 1099 MiB.
2026-09-19T23:09:37Z INFO [126/380] 08d7f5bd-d179-4e76-a0a6-356d02a3af33: Sackin index -0.0148; 23.1 s; peak memory 1099 MiB.
2026-09-19T23:09:38Z INFO [127/380] 08d81115-427d-47c8-b76e-92bacc5c2703: Sackin index -0.0752; 1.4 s; peak memory 1099 MiB.
2026-09-19T23:09:48Z INFO [128/380] 08d86979-cca0-46a9-94fc-49ce15eab986: Sackin index -0.0308; 10.0 s; peak memory 1099 MiB.
2026-09-19T23:09:49Z INFO [129/380] 08d97053-352f-4def-bedb-4102990e7c71: Sackin index -0.1248; 1.3 s; peak memory 1099 MiB.
2026-09-19T23:11:29Z INFO [130/380] 08da5f7d-0fc8-4a47-a4cf-df36dce7b378: Sackin index -0.0450; 99.1 s; peak memory 1099 MiB.
2026-09-19T23:11:30Z INFO [131/380] 08da8f5d-f558-4afc-9bc1-726c47c361d3: Sackin index -0.0702; 1.4 s; peak memory 1099 MiB.
2026-09-19T23:11:31Z INFO [132/380] 08dab2ba-7b97-4274-89e6-eee3a4559bbe: Sackin index -0.0413; 1.6 s; peak memory 1099 MiB.
2026-09-19T23:11:33Z INFO [133/380] 08dabbef-6f92-4170-93e4-baeb7695e51c: Sackin index -0.1082; 1.6 s; peak memory 1099 MiB.
2026-09-19T23:11:35Z INFO [134/380] 08dbbe47-7116-408f-a055-13e4e93304ca: Sackin index -0.0369; 2.2 s; peak memory 1099 MiB.
2026-09-19T23:11:38Z INFO [135/380] 08dc9c5e-6d59-4246-bfea-822d35b5f4bf: Sackin index -0.0728; 2.3 s; peak memory 1099 MiB.
2026-09-19T23:11:39Z INFO [136/380] 08dcf7fe-9799-479d-ad05-75af2870c505: Sackin index -0.1349; 1.2 s; peak memory 1099 MiB.
2026-09-19T23:11:41Z INFO [137/380] 08dd8352-a465-4f5c-b3db-a15b0f580747: Sackin index -0.0681; 2.7 s; peak memory 1099 MiB.
2026-09-19T23:11:43Z INFO [138/380] 08de1f7f-6ceb-42b2-ba3b-e53290103343: Sackin index -0.0944; 1.8 s; peak memory 1099 MiB.
2026-09-19T23:11:45Z INFO [139/380] 08de811b-1ccc-43be-bdd9-0b9d838fcc7d: Sackin index -0.0696; 1.4 s; peak memory 1099 MiB.
2026-09-19T23:11:47Z INFO [140/380] 08df129a-47a0-4588-b7ef-b6745e4e2a63: Sackin index -0.0275; 1.9 s; peak memory 1099 MiB.
2026-09-19T23:11:48Z INFO [141/380] 08df20e4-3370-4dd1-9e46-9097246559dc: Sackin index -0.0732; 1.4 s; peak memory 1099 MiB.
2026-09-19T23:11:50Z INFO [142/380] 08e109ae-5f23-4cf8-934c-79e3c4ef8bea: Sackin index -0.0728; 1.6 s; peak memory 1099 MiB.
2026-09-19T23:11:51Z INFO [143/380] 08e119a6-3677-4485-8acd-d9440a5a831d: Sackin index -0.1602; 1.1 s; peak memory 1099 MiB.
2026-09-19T23:11:52Z INFO [144/380] 08e13029-cf2e-440d-8b5b-341a150ebb05: Sackin index -0.1248; 1.4 s; peak memory 1099 MiB.
2026-09-19T23:11:54Z INFO [145/380] 08e26b4f-e23d-4a18-9df3-754de144d6df: Sackin index -0.0752; 2.0 s; peak memory 1099 MiB.
2026-09-19T23:11:55Z INFO [146/380] 08e3de8c-94de-4db6-96b3-9ca7f17de437: Sackin index -0.0709; 1.4 s; peak memory 1099 MiB.
2026-09-19T23:11:57Z INFO [147/380] 08e3ec2d-be1a-4e04-9ea5-ed3d24e79670: Sackin index -0.1349; 1.2 s; peak memory 1099 MiB.
2026-09-19T23:12:04Z INFO [148/380] 08e4a452-5574-41b6-8758-935b3b95820b: Sackin index -0.0251; 7.0 s; peak memory 1099 MiB.
2026-09-19T23:12:05Z INFO [149/380] 08e59224-f8f4-4a46-a247-abebb430e087: Sackin index -0.1349; 1.2 s; peak memory 1099 MiB.
2026-09-19T23:12:06Z INFO [150/380] 08e5a000-0500-4083-aa99-47e4e53d684e: Sackin index -0.1658; 1.0 s; peak memory 1099 MiB.
2026-09-19T23:12:06Z INFO [150/380] 08e5a000-0500-4083-aa99-47e4e53d684e: checkpointed 51143 records.
2026-09-19T23:12:08Z INFO [151/380] 08e69f3c-4c07-4753-886b-8a653e678c7c: Sackin index -0.0434; 1.7 s; peak memory 1099 MiB.
2026-09-19T23:12:10Z INFO [152/380] 08e70550-23a8-4fc2-a31d-1699e14c977c: Sackin index -0.0699; 2.7 s; peak memory 1099 MiB.
2026-09-19T23:12:58Z INFO [153/380] 08e7facd-e0da-4679-869a-2690ab6f4be0: Sackin index -0.1144; 47.5 s; peak memory 1099 MiB.
2026-09-19T23:13:10Z INFO [154/380] 08e87489-9aef-4e19-92f2-4248d1e1c560: Sackin index -0.0134; 12.7 s; peak memory 1099 MiB.
2026-09-19T23:13:25Z INFO [155/380] 08e8f32e-c698-4d22-b963-b29cbeaa43e8: Sackin index -0.0180; 14.8 s; peak memory 1099 MiB.
2026-09-19T23:13:26Z INFO [156/380] 08e92695-6bbc-400b-b4b3-97913fddd42d: Sackin index -0.2000; 1.0 s; peak memory 1099 MiB.
2026-09-19T23:13:32Z INFO [157/380] 08ea1571-8912-4535-89ac-5e9e6647e80e: Sackin index -0.0723; 5.8 s; peak memory 1099 MiB.
2026-09-19T23:13:35Z INFO [158/380] 08ea1c4c-528e-4898-9899-ba7bc6693037: Sackin index -0.0699; 2.8 s; peak memory 1099 MiB.
2026-09-19T23:15:18Z INFO [159/380] 08ea54e4-d466-43ed-9c72-39ea4e4e6322: Sackin index -0.0493; 102.8 s; peak memory 1099 MiB.
2026-09-19T23:15:20Z INFO [160/380] 08ea5ef4-96f3-47f0-9993-e43fcd4586d0: Sackin index -0.0699; 2.6 s; peak memory 1099 MiB.
2026-09-19T23:15:22Z INFO [161/380] 08ea9d0e-678d-4737-a563-8749f86d1b13: Sackin index -0.0375; 1.8 s; peak memory 1099 MiB.
2026-09-19T23:15:23Z INFO [162/380] 08eb03fe-ea93-4b60-9e36-c10560de8113: Sackin index -0.0702; 1.4 s; peak memory 1099 MiB.
