2026-09-20T18:30:37Z INFO Logging to /tmp/logs/update_2026-09-20T18-30-37Z.log.
2026-09-20T18:30:37Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-20T18:30:37Z INFO Processing 363 items (51767 already recorded).
2026-09-20T18:30:39Z INFO [1/363] 0a289fa2-92cc-4f48-a2a4-3ac59527bac0: Sackin index -0.0728; 1.3 s; peak memory 105 MiB.
2026-09-20T18:30:40Z INFO [2/363] 0a2928e3-386d-4085-bbfb-29dfe61bb41c: Sackin index -0.1938; 1.4 s; peak memory 106 MiB.
2026-09-20T18:30:41Z INFO [3/363] 0a2af385-4be2-435d-877d-5bb9dd48a1f1: Sackin index -0.1248; 0.7 s; peak memory 106 MiB.
2026-09-20T18:30:41Z INFO [4/363] 0a2b13f4-6bad-457d-b721-12a2658d8ada: Sackin index -0.0696; 0.9 s; peak memory 106 MiB.
2026-09-20T18:30:43Z INFO [5/363] 0a2c2776-e09c-406e-a22f-e8e12aa90270: Sackin index -0.0660; 1.5 s; peak memory 108 MiB.
2026-09-20T18:30:47Z INFO [6/363] 0a2cf04e-baef-4123-9de3-4acab8c6b09f: Sackin index -0.0213; 4.2 s; peak memory 119 MiB.
2026-09-20T18:30:48Z INFO [7/363] 0a2e47f5-4a10-4d89-8b9c-29152c6c6028: Sackin index -0.1013; 0.9 s; peak memory 119 MiB.
2026-09-20T18:30:49Z INFO [8/363] 0a2f8916-919a-43b5-95fb-b666d34309fe: Sackin index -0.0752; 0.9 s; peak memory 119 MiB.
2026-09-20T18:30:59Z INFO [9/363] 0a2fac73-8161-43f0-83b4-807154781f08: Sackin index -0.1938; 10.0 s; peak memory 136 MiB.
2026-09-20T18:31:00Z INFO [10/363] 0a2fcc74-da26-4206-bf69-af88dc383fd6: Sackin index -0.0728; 0.8 s; peak memory 136 MiB.
2026-09-20T18:31:00Z INFO [11/363] 0a30c056-bd68-481a-80bb-cfbaadd0c18e: Sackin index -0.1349; 0.7 s; peak memory 136 MiB.
2026-09-20T18:31:09Z INFO [12/363] 0a3106fb-8fea-4460-9728-46ca4232a3cf: Sackin index -0.0137; 8.1 s; peak memory 143 MiB.
2026-09-20T18:31:10Z INFO [13/363] 0a31bb2f-3158-4043-be80-08b4ba5a888e: Sackin index -0.0745; 0.9 s; peak memory 143 MiB.
2026-09-20T18:31:10Z INFO [14/363] 0a320752-11e8-49c5-8e24-93821977e926: Sackin index -0.1349; 0.6 s; peak memory 143 MiB.
2026-09-20T18:31:11Z INFO [15/363] 0a3250ef-f869-4820-9969-83ed79464332: Sackin index -0.0696; 0.8 s; peak memory 143 MiB.
2026-09-20T18:31:15Z INFO [16/363] 0a3258df-00a9-4615-abcf-801deab46905: Sackin index -0.0362; 4.0 s; peak memory 143 MiB.
