2026-09-21T12:05:01Z INFO Logging to /tmp/logs/update_2026-09-21T12-05-01Z.log.
2026-09-21T12:05:01Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-21T12:05:01Z INFO Processing 367 items (52499 already recorded).
2026-09-21T12:05:06Z INFO [1/367] 0bbcea62-4814-424c-8235-a91142dfcfec: Sackin index -0.0378; 4.2 s; peak memory 106 MiB.
2026-09-21T12:05:07Z INFO [2/367] 0bbd1683-6581-49ac-82e1-c84eab485531: Sackin index -0.0745; 1.3 s; peak memory 107 MiB.
2026-09-21T12:05:08Z INFO [3/367] 0bbd6962-0ba4-4a61-94b4-161a3d4a5efb: Sackin index -0.0709; 1.0 s; peak memory 107 MiB.
2026-09-21T12:05:09Z INFO [4/367] 0bbf052e-3878-46a3-a14d-57df85586f72: Sackin index -0.0702; 1.2 s; peak memory 107 MiB.
2026-09-21T12:05:19Z INFO [5/367] 0bbf8c8e-a200-4f9b-9edc-3b12a6033178: Sackin index -0.0219; 9.6 s; peak memory 128 MiB.
2026-09-21T12:06:00Z INFO [6/367] 0bc1a430-05a1-4a8a-a541-d5726602326c: Sackin index -0.1144; 41.3 s; peak memory 197 MiB.
2026-09-21T12:06:02Z INFO [7/367] 0bc1d8d2-92ff-4324-86b8-2699a1980ad0: Sackin index -0.0276; 1.4 s; peak memory 197 MiB.
2026-09-21T12:06:03Z INFO [8/367] 0bc20038-2aa0-4089-8940-6b4d988457ab: Sackin index -0.1000; 1.1 s; peak memory 197 MiB.
2026-09-21T12:06:04Z INFO [9/367] 0bc34c6e-b471-4c8c-9e72-72ec064b4a37: Sackin index -0.1349; 1.0 s; peak memory 197 MiB.
2026-09-21T12:06:08Z INFO [10/367] 0bc3cd29-cbe4-4c8b-8319-328890f73918: Sackin index -0.0255; 4.7 s; peak memory 197 MiB.
2026-09-21T12:06:18Z INFO [11/367] 0bc52c99-bf98-47d6-a856-e05133a2751d: Sackin index -0.0691; 9.1 s; peak memory 197 MiB.
2026-09-21T12:06:19Z INFO [12/367] 0bc5a608-7e35-4511-82d5-c333916c3a32: Sackin index -0.0728; 1.4 s; peak memory 197 MiB.
2026-09-21T12:06:20Z INFO [13/367] 0bc5f9f4-c30e-454e-9cb1-bbf8aed651c9: Sackin index -0.1349; 0.9 s; peak memory 197 MiB.
2026-09-21T12:06:20Z INFO [14/367] 0bc6ed24-1620-4f22-bf77-0e8af77f2a7d: Sackin index -0.1658; 0.6 s; peak memory 197 MiB.
2026-09-21T12:06:21Z INFO [15/367] 0bc71404-b447-40c2-a6cf-200646978f6c: Sackin index -0.1349; 1.0 s; peak memory 197 MiB.
2026-09-21T12:06:22Z INFO [16/367] 0bc802cf-682e-4859-abc5-f3cf159b3c42: Sackin index -0.1349; 1.0 s; peak memory 197 MiB.
2026-09-21T12:06:23Z INFO [17/367] 0bc868d2-7e80-44be-b450-8d6acbfa1fe0: Sackin index -0.1658; 0.7 s; peak memory 197 MiB.
2026-09-21T12:06:24Z INFO [18/367] 0bc9d397-c0d9-45be-a3ed-cc668becca7c: Sackin index -0.1273; 1.3 s; peak memory 197 MiB.
2026-09-21T12:06:26Z INFO [19/367] 0bcabc6b-7110-49e5-bf4a-5fcf279f27c3: Sackin index -0.0375; 1.2 s; peak memory 197 MiB.
2026-09-21T12:06:29Z INFO [20/367] 0bcc3ff1-3109-4980-a980-93244175dc86: Sackin index -0.0914; 3.2 s; peak memory 197 MiB.
2026-09-21T12:06:30Z INFO [21/367] 0bcc781d-1da7-45bf-b8e2-26028deb4a22: Sackin index -0.0386; 1.1 s; peak memory 197 MiB.
