2026-09-21T19:05:19Z INFO Logging to /tmp/logs/update_2026-09-21T19-05-19Z.log.
2026-09-21T19:05:19Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-21T19:05:19Z INFO Processing 356 items (52866 already recorded).
2026-09-21T19:05:20Z INFO [1/356] 0c83f718-2af5-4943-9ed6-4fa50b7ace14: Sackin index -0.1135; 1.2 s; peak memory 98 MiB.
2026-09-21T19:05:23Z INFO [2/356] 0c8427fa-1b57-4f71-8fb4-aa7cc45ceb01: Sackin index -0.0704; 2.4 s; peak memory 102 MiB.
2026-09-21T19:05:24Z INFO [3/356] 0c844f18-c189-4991-8439-e55942bd52be: Sackin index -0.0369; 1.5 s; peak memory 102 MiB.
2026-09-21T19:05:25Z INFO [4/356] 0c8459e6-4109-4d57-b5c3-64fba140fab7: Sackin index -0.2229; 1.2 s; peak memory 102 MiB.
2026-09-21T19:05:27Z INFO [5/356] 0c84cf1e-9c0f-444f-9bc1-347150dda800: Sackin index -0.0702; 1.2 s; peak memory 104 MiB.
2026-09-21T19:05:29Z INFO [6/356] 0c854ba5-09a2-4c5a-bc58-413036720859: Sackin index -0.0699; 2.6 s; peak memory 106 MiB.
2026-09-21T19:05:31Z INFO [7/356] 0c86349f-887a-424a-8ba5-7829815a85aa: Sackin index -0.1224; 1.9 s; peak memory 106 MiB.
2026-09-21T19:05:52Z INFO [8/356] 0c86755b-87f6-4518-9601-f4e329d59218: Sackin index -0.0155; 20.6 s; peak memory 156 MiB.
2026-09-21T19:05:54Z INFO [9/356] 0c86e473-9c4b-4fbf-9acd-58fc1348657a: Sackin index -0.0681; 2.1 s; peak memory 156 MiB.
2026-09-21T19:05:55Z INFO [10/356] 0c875f1f-5618-4f2d-afe0-a269189dc0bc: Sackin index -0.0379; 1.5 s; peak memory 156 MiB.
2026-09-21T19:05:56Z INFO [11/356] 0c882275-f543-4aea-93e9-9ab41b8200e0: Sackin index -0.0728; 1.1 s; peak memory 156 MiB.
2026-09-21T19:05:58Z INFO [12/356] 0c88fcf2-7a15-494f-9081-75dfab4547bb: Sackin index -0.0728; 1.3 s; peak memory 156 MiB.
2026-09-21T19:05:59Z INFO [13/356] 0c894799-e5a1-4add-8ab1-0a5bd3f8dc9a: Sackin index -0.1349; 0.9 s; peak memory 156 MiB.
2026-09-21T19:06:00Z INFO [14/356] 0c899809-a85b-432b-97b5-651525cc83c5: Sackin index -0.1349; 1.1 s; peak memory 157 MiB.
2026-09-21T19:06:01Z INFO [15/356] 0c8b097d-0e80-4d09-b1f6-cdd3f7f98684: Sackin index -0.0740; 1.3 s; peak memory 157 MiB.
2026-09-21T19:06:02Z INFO [16/356] 0c8b3d92-3091-4d3b-af1b-71d784e97e81: Sackin index -0.0722; 1.4 s; peak memory 157 MiB.
