2026-09-22T20:55:48Z INFO Logging to /tmp/logs/update_2026-09-22T20-55-48Z.log.
2026-09-22T20:55:48Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-22T20:55:49Z INFO Processing 371 items (53955 already recorded).
2026-09-22T20:55:51Z INFO [1/371] 0ebf383b-d267-4424-850c-41c6769094f4: Sackin index -0.0702; 2.1 s; peak memory 104 MiB.
2026-09-22T20:55:54Z INFO [2/371] 0ebffe25-9709-4262-b719-d36872a03379: Sackin index -0.0736; 3.6 s; peak memory 106 MiB.
2026-09-22T20:55:57Z INFO [3/371] 0ec05ffe-179a-4743-9081-df4e3428149e: Sackin index -0.0877; 3.1 s; peak memory 107 MiB.
2026-09-22T20:55:58Z INFO [4/371] 0ec0bf21-c9ba-41fc-b26c-4ba6907c4773: Sackin index -0.1658; 1.1 s; peak memory 107 MiB.
2026-09-22T20:56:18Z INFO [5/371] 0ec195b1-d277-4328-b315-f734c3319b4c: Sackin index -0.1367; 19.9 s; peak memory 126 MiB.
2026-09-22T21:00:14Z INFO [6/371] 0ec20f3f-21f9-4f9f-8922-ed91d1cc7fe3: Sackin index -0.0667; 235.8 s; peak memory 1155 MiB.
2026-09-22T21:00:17Z INFO [7/371] 0ec2c93f-f6df-42c1-ac3f-0137187d91e7: Sackin index -0.0728; 2.4 s; peak memory 1155 MiB.
2026-09-22T21:02:26Z INFO [8/371] 0ec34ace-8043-4e3d-a99f-cb5ff2f4643d: Sackin index -0.0450; 129.3 s; peak memory 1155 MiB.
2026-09-22T21:02:27Z INFO [9/371] 0ec45705-1047-447f-a162-1b7240fe8340: Sackin index -0.1349; 1.4 s; peak memory 1155 MiB.
2026-09-22T21:02:29Z INFO [10/371] 0ec46f52-c444-4de8-886f-f6e4ed61b764: Sackin index -0.1349; 1.5 s; peak memory 1155 MiB.
2026-09-22T21:02:31Z INFO [11/371] 0ec4c134-704e-453f-9420-9e95470e1b1a: Sackin index -0.1210; 2.4 s; peak memory 1155 MiB.
2026-09-22T21:02:33Z INFO [12/371] 0ec4f71d-d190-49fc-a03e-d1c39490c9a6: Sackin index -0.0696; 1.8 s; peak memory 1155 MiB.
2026-09-22T21:02:48Z INFO [13/371] 0ec53767-5b7a-4761-bdef-33d109129822: Sackin index -0.0116; 15.4 s; peak memory 1155 MiB.
2026-09-22T21:03:11Z INFO [14/371] 0ec5b4bf-9baa-44a4-8ce8-fe661f53522e: Sackin index -0.1367; 23.1 s; peak memory 1155 MiB.
2026-09-22T21:03:13Z INFO [15/371] 0ec5d952-d4a6-4d48-9d25-e3185a62632a: Sackin index -0.0702; 1.7 s; peak memory 1155 MiB.
2026-09-22T21:03:15Z INFO [16/371] 0ec5fe73-2f37-4325-b42b-29d2b12350b9: Sackin index -0.1273; 1.7 s; peak memory 1155 MiB.
2026-09-22T21:05:30Z INFO [17/371] 0ec659da-4d78-49f7-9cb8-ddbca02b94fc: Sackin index -0.0573; 134.7 s; peak memory 1156 MiB.
2026-09-22T21:05:31Z INFO [18/371] 0ec6a982-b65d-4877-9eae-7fec0fa1e3e4: Sackin index -0.1349; 1.5 s; peak memory 1156 MiB.
2026-09-22T21:05:54Z INFO [19/371] 0ec6c986-d74d-495f-8a5b-a4584a2f4112: Sackin index -0.0078; 22.6 s; peak memory 1156 MiB.
