2026-09-23T16:10:35Z INFO Logging to /tmp/logs/update_2026-09-23T16-10-35Z.log.
2026-09-23T16:10:35Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-23T16:10:36Z INFO Processing 500 items (54677 already recorded).
2026-09-23T16:10:37Z INFO [1/500] 03cdc3ac-ee4a-4073-996f-67362a1e8905: Sackin index -0.1542; 1.2 s; peak memory 99 MiB.
2026-09-23T16:10:38Z INFO [2/500] 103bcc48-ef96-4fd3-8b3e-68d360ee14af: Sackin index -0.1349; 0.7 s; peak memory 100 MiB.
2026-09-23T16:10:38Z INFO [3/500] 103c962b-4725-4f4c-bff7-943bac8ae678: Sackin index -0.0696; 0.8 s; peak memory 103 MiB.
2026-09-23T16:10:39Z INFO [4/500] 103d1962-e5c9-46db-b557-7d09974546e3: Sackin index -0.1575; 0.7 s; peak memory 104 MiB.
2026-09-23T16:10:48Z INFO [5/500] 103db565-d0f7-46cb-b0a1-c83cf53e170b: Sackin index -0.0107; 8.9 s; peak memory 144 MiB.
2026-09-23T16:10:48Z INFO [6/500] 103de969-d7dd-4f02-b365-2193dbd43361: Sackin index -0.1658; 0.5 s; peak memory 144 MiB.
2026-09-23T16:10:50Z INFO [7/500] 103e77a3-41c6-4a4b-b787-ce5b81f05fcc: Sackin index -0.0693; 1.7 s; peak memory 145 MiB.
2026-09-23T16:10:52Z INFO [8/500] 103eeaa4-e50f-4240-a254-cc4e2829ca52: Sackin index -0.0699; 1.6 s; peak memory 145 MiB.
2026-09-23T16:10:53Z INFO [9/500] 103f3a75-e335-4cb3-8564-0f50857a33b5: Sackin index -0.0702; 0.9 s; peak memory 145 MiB.
2026-09-23T16:10:58Z INFO [10/500] 103f60a8-b29b-4ef6-a450-5da465c7dc43: Sackin index -0.0184; 4.9 s; peak memory 146 MiB.
2026-09-23T16:10:58Z INFO [11/500] 10401ed9-2f73-4bb0-9f88-daae5047a741: Sackin index -0.1273; 0.8 s; peak memory 146 MiB.
2026-09-23T16:10:59Z INFO [12/500] 1040ab4c-da6c-474c-b5e8-52cb7ae33dc5: Sackin index -0.1340; 0.4 s; peak memory 146 MiB.
2026-09-23T16:10:59Z INFO [13/500] 1040df47-f26d-4280-a84c-b3440cff043c: Sackin index -0.1340; 0.5 s; peak memory 146 MiB.
2026-09-23T16:11:08Z INFO [14/500] 10412615-7a98-4f53-8ccf-14821f647977: Sackin index -0.0389; 8.5 s; peak memory 146 MiB.
2026-09-23T16:11:09Z INFO [15/500] 10412f2b-e17a-404f-91cc-5c3605407651: Sackin index -0.1248; 0.8 s; peak memory 146 MiB.
2026-09-23T16:11:09Z INFO [16/500] 10414878-c364-4379-b7e7-2f0de4055296: Sackin index -0.1349; 0.7 s; peak memory 146 MiB.
2026-09-23T16:11:12Z INFO [17/500] 10419ed2-a547-4180-a895-eb6867ad5930: Sackin index -0.0267; 3.1 s; peak memory 146 MiB.
2026-09-23T16:11:13Z INFO [18/500] 1042c3e5-fd7d-45b4-8106-8ff5a8fbd5c2: Sackin index -0.0702; 0.9 s; peak memory 147 MiB.
2026-09-23T16:11:14Z INFO [19/500] 1042df47-7eae-480c-a37f-3a2d311c5107: Sackin index -0.1349; 0.7 s; peak memory 147 MiB.
2026-09-23T16:11:14Z INFO [20/500] 10431016-a31f-4546-9338-13535cbb5d18: Sackin index -0.1161; 0.5 s; peak memory 147 MiB.
2026-09-23T16:11:15Z INFO [21/500] 1043ce36-c15d-4698-9843-675a39e56bf8: Sackin index -0.0667; 0.6 s; peak memory 147 MiB.
2026-09-23T16:11:16Z INFO [22/500] 1044784c-3b17-4280-b127-63a3dc1f428d: Sackin index -0.0702; 0.8 s; peak memory 147 MiB.
2026-09-23T16:11:17Z INFO [23/500] 10453efc-e13b-4896-adaa-7b5b69e39da1: Sackin index -0.1349; 0.8 s; peak memory 147 MiB.
2026-09-23T16:11:17Z INFO [24/500] 10461333-c978-4c57-aba1-791120d58045: Sackin index -0.0748; 0.8 s; peak memory 147 MiB.
2026-09-23T16:11:21Z INFO [25/500] 104818be-1fec-4e9a-b8a8-496b9973870a: Sackin index -0.0170; 3.8 s; peak memory 147 MiB.
2026-09-23T16:11:22Z INFO [26/500] 10498447-7403-4692-af13-c24d51b2ece4: Sackin index -0.1658; 0.6 s; peak memory 147 MiB.
2026-09-23T16:11:25Z INFO [27/500] 104a15c9-e3cc-4e43-abf9-53660f93e116: Sackin index -0.0403; 3.2 s; peak memory 147 MiB.
2026-09-23T16:11:26Z INFO [28/500] 104ab473-3511-4baa-8878-97c5fd8833cb: Sackin index -0.1174; 0.6 s; peak memory 147 MiB.
2026-09-23T16:11:27Z INFO [29/500] 104acc5c-1ed4-4f09-ad1a-2e6295445f17: Sackin index -0.0728; 0.9 s; peak memory 147 MiB.
2026-09-23T16:11:27Z INFO [30/500] 104b1436-9411-4032-9f4d-331c3a68ad30: Sackin index -0.0707; 0.8 s; peak memory 147 MiB.
2026-09-23T16:11:28Z INFO [31/500] 104b2140-518c-4d03-b580-9cbaf9088528: Sackin index -0.0745; 1.1 s; peak memory 147 MiB.
2026-09-23T16:11:39Z INFO [32/500] 104c3708-6e19-4e36-ba6f-3cf233d8f2cc: Sackin index -0.0151; 10.0 s; peak memory 155 MiB.
2026-09-23T16:11:40Z INFO [33/500] 104caad9-3c68-47a6-bdb1-c250ba6b2f58: Sackin index -0.1319; 1.4 s; peak memory 155 MiB.
2026-09-23T16:11:41Z INFO [34/500] 104cd17c-cc5a-45ff-a3b8-d248bb203639: Sackin index -0.1349; 0.7 s; peak memory 155 MiB.
2026-09-23T16:11:45Z INFO [35/500] 104d16b0-5db1-4100-8d1d-1095cf6f49ba: Sackin index -0.0251; 4.1 s; peak memory 155 MiB.
2026-09-23T16:11:46Z INFO [36/500] 104d7dec-d6f4-4513-9318-90d8b50f221b: Sackin index -0.1938; 1.5 s; peak memory 155 MiB.
2026-09-23T16:11:50Z INFO [37/500] 104d8968-9ccd-4945-826c-14dd976de4b0: Sackin index -0.0251; 3.3 s; peak memory 155 MiB.
2026-09-23T16:11:51Z INFO [38/500] 104f2a2c-01c6-409d-b849-f00497ed9a91: Sackin index -0.0738; 1.2 s; peak memory 155 MiB.
2026-09-23T16:11:51Z INFO [39/500] 104f910a-93e7-40f1-a4bb-a477b8087c59: Sackin index -0.1178; 0.5 s; peak memory 155 MiB.
2026-09-23T16:11:52Z INFO [40/500] 10514435-1d8c-4a33-9e70-8f0035d66db7: Sackin index -0.1254; 0.7 s; peak memory 155 MiB.
2026-09-23T16:11:53Z INFO [41/500] 1051616f-b70c-46d2-ae09-8149c86ff01c: Sackin index -0.1349; 0.7 s; peak memory 155 MiB.
