2026-09-24T16:34:06Z INFO Logging to /tmp/logs/update_2026-09-24T16-34-06Z.log.
2026-09-24T16:34:06Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-24T16:34:06Z INFO Processing 371 items (55798 already recorded).
2026-09-24T16:34:08Z INFO [1/371] 004dcca0-34c8-4b04-8229-bb49b3d00a29: Sackin index -0.1370; 1.9 s; peak memory 102 MiB.
2026-09-24T16:34:10Z INFO [2/371] 00cec8b0-5164-4a3a-a02c-946d70edfb6b: Sackin index -0.1243; 2.0 s; peak memory 103 MiB.
2026-09-24T16:34:12Z INFO [3/371] 018d6083-942f-4322-948a-5416034d58b0: Sackin index -0.1243; 2.0 s; peak memory 104 MiB.
2026-09-24T16:34:14Z INFO [4/371] 019f7ec4-5618-4756-8fd4-f19708b07477: Sackin index -0.1243; 1.7 s; peak memory 104 MiB.
2026-09-24T16:34:16Z INFO [5/371] 02a91933-a207-4f1f-828e-1884d7d1ca6d: Sackin index -0.1243; 2.0 s; peak memory 104 MiB.
2026-09-24T16:34:17Z INFO [6/371] 02c7245a-55cc-4225-9a80-1763a746f953: Sackin index -0.1370; 1.4 s; peak memory 105 MiB.
2026-09-24T16:34:19Z INFO [7/371] 0347b886-5145-4ff5-b921-7ddb454bbd7a: Sackin index -0.1243; 1.8 s; peak memory 105 MiB.
2026-09-24T16:34:21Z INFO [8/371] 045e19bf-4aef-45d1-81ec-7f9ad0d28c62: Sackin index -0.1418; 1.6 s; peak memory 105 MiB.
2026-09-24T16:34:22Z INFO [9/371] 05676ec9-7f1c-4840-8939-05161b45a42c: Sackin index -0.1418; 1.7 s; peak memory 105 MiB.
2026-09-24T16:34:24Z INFO [10/371] 062eaefe-3055-4a5d-9558-32662cbc1f93: Sackin index -0.1283; 1.7 s; peak memory 105 MiB.
2026-09-24T16:35:36Z INFO [11/371] 06a5808d-5e32-4eb4-be2e-67c9d09659d8: Sackin index -0.0982; 72.1 s; peak memory 211 MiB.
2026-09-24T16:35:38Z INFO [12/371] 072c019d-53f2-4cc1-b181-ec9218dcf84d: Sackin index -0.1243; 1.8 s; peak memory 211 MiB.
2026-09-24T16:35:40Z INFO [13/371] 0874236c-84ca-4a13-8c5a-00aea7f2dbbf: Sackin index -0.1469; 1.6 s; peak memory 211 MiB.
2026-09-24T16:35:41Z INFO [14/371] 08d66869-7fa3-4e85-93dc-143a69068a57: Sackin index -0.1370; 1.5 s; peak memory 211 MiB.
2026-09-24T16:35:43Z INFO [15/371] 091525e3-b436-4d91-b3ef-0bd761356383: Sackin index -0.1370; 1.6 s; peak memory 211 MiB.
