2026-09-25T00:17:53Z INFO Logging to /tmp/logs/update_2026-09-25T00-17-53Z.log.
2026-09-25T00:17:53Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-25T00:17:53Z INFO Processing 381 items (56529 already recorded).
2026-09-25T00:17:55Z INFO [1/381] 140d6a19-4df5-4270-9d32-39f611e7cebd: Sackin index -0.1938; 1.6 s; peak memory 101 MiB.
2026-09-25T00:17:57Z INFO [2/381] 140daf18-4ba4-41e8-875b-b8754eb60902: Sackin index -0.0693; 2.0 s; peak memory 102 MiB.
2026-09-25T00:17:58Z INFO [3/381] 140df9e8-33d8-4d89-a32f-0e32db74ea50: Sackin index -0.1349; 0.8 s; peak memory 103 MiB.
2026-09-25T00:17:59Z INFO [4/381] 140f0506-6d4a-4a14-8a0a-6a20fa1b878f: Sackin index -0.1349; 0.7 s; peak memory 103 MiB.
2026-09-25T00:18:02Z INFO [5/381] 140fa8ec-d3b1-4ef4-8a99-0385d590e2c4: Sackin index -0.0289; 3.1 s; peak memory 114 MiB.
2026-09-25T00:18:05Z INFO [6/381] 14106e74-30a8-4441-93f8-675f77c48049: Sackin index -0.0403; 3.3 s; peak memory 115 MiB.
2026-09-25T00:18:09Z INFO [7/381] 1411b7b2-a684-4685-8283-b5538a43937f: Sackin index -0.0248; 4.0 s; peak memory 120 MiB.
2026-09-25T00:18:10Z INFO [8/381] 141350d6-de61-4640-a9ae-e4d9f3b8e5c7: Sackin index -0.1397; 0.5 s; peak memory 120 MiB.
2026-09-25T00:18:10Z INFO [9/381] 14135730-3943-48b0-9d5b-bfb27dc57cd6: Sackin index -0.0728; 0.9 s; peak memory 120 MiB.
2026-09-25T00:18:18Z INFO [10/381] 14136c6f-1509-4fa8-a79c-a5d7bd056274: Sackin index -0.0102; 7.6 s; peak memory 157 MiB.
2026-09-25T00:18:19Z INFO [11/381] 1413d511-3397-444c-b6c8-6b80396ed000: Sackin index -0.0369; 1.1 s; peak memory 157 MiB.
2026-09-25T00:18:20Z INFO [12/381] 1414c708-f6d7-42cf-840a-d0ec24be54d0: Sackin index -0.1349; 0.6 s; peak memory 157 MiB.
2026-09-25T00:18:21Z INFO [13/381] 14158c79-4d4d-4ff9-b19f-ac7c4c57ba7c: Sackin index -0.1938; 1.2 s; peak memory 157 MiB.
2026-09-25T00:18:22Z INFO [14/381] 1415c6bf-4d6a-4749-a783-b34e0db7da5f: Sackin index -0.1233; 1.0 s; peak memory 157 MiB.
2026-09-25T00:18:22Z INFO [15/381] 14160f10-0bea-4ad6-af7f-560ee25a974b: Sackin index -0.1602; 0.6 s; peak memory 157 MiB.
2026-09-25T00:18:23Z INFO [16/381] 1416a241-85cf-46f3-92e3-e6e3f4644ea8: Sackin index -0.1349; 0.6 s; peak memory 157 MiB.
2026-09-25T00:18:24Z INFO [17/381] 1416bb56-22ee-48b1-a2b1-7e364608b579: Sackin index -0.1349; 0.6 s; peak memory 157 MiB.
2026-09-25T00:18:25Z INFO [18/381] 141752eb-3e85-453e-8c17-77a562bbbaa2: Sackin index -0.0693; 1.6 s; peak memory 157 MiB.
2026-09-25T00:18:26Z INFO [19/381] 1417ab7e-e29d-4772-9c21-132de4e57719: Sackin index -0.0720; 0.5 s; peak memory 157 MiB.
2026-09-25T00:18:27Z INFO [20/381] 14180e00-d42a-46cb-a756-321d0bbaced6: Sackin index -0.0702; 0.7 s; peak memory 158 MiB.
2026-09-25T00:18:27Z INFO [21/381] 14192d0c-b34c-4772-b377-abe77a24baff: Sackin index -0.0702; 0.7 s; peak memory 158 MiB.
2026-09-25T00:18:28Z INFO [22/381] 14195087-9eec-4ffd-a0af-1574e7814860: Sackin index -0.2000; 0.4 s; peak memory 158 MiB.
2026-09-25T00:18:28Z INFO [23/381] 14195c89-ce4a-4cb4-859d-6148d032e3da: Sackin index -0.1448; 0.4 s; peak memory 158 MiB.
2026-09-25T00:18:29Z INFO [24/381] 141c0b61-ceee-4005-b8b1-a92869bad548: Sackin index -0.0728; 0.7 s; peak memory 158 MiB.
2026-09-25T00:18:30Z INFO [25/381] 141cedab-9346-4da4-9ea7-48b588394798: Sackin index -0.0369; 1.1 s; peak memory 158 MiB.
2026-09-25T00:18:31Z INFO [26/381] 141daa27-99a5-46c7-9380-a8c23260535a: Sackin index -0.0732; 1.0 s; peak memory 158 MiB.
2026-09-25T00:18:33Z INFO [27/381] 141e5013-a599-4029-9076-c41ce25053cc: Sackin index -0.0350; 1.7 s; peak memory 158 MiB.
2026-09-25T00:18:33Z INFO [28/381] 141f23d9-9a0a-411c-8a98-c1f2392aec52: Sackin index -0.2168; 0.4 s; peak memory 158 MiB.
2026-09-25T00:18:35Z INFO [29/381] 141f5092-e684-4baa-9719-961a600b3d27: Sackin index -0.0869; 2.2 s; peak memory 158 MiB.
2026-09-25T00:18:36Z INFO [30/381] 141f7cf6-e92e-4d18-929b-4aa2ba8e3050: Sackin index -0.1938; 0.7 s; peak memory 158 MiB.
2026-09-25T00:18:37Z INFO [31/381] 141f8028-553e-4fdc-aa9b-693dcf2d7ab8: Sackin index -0.1349; 0.7 s; peak memory 158 MiB.
2026-09-25T00:18:37Z INFO [32/381] 142022cf-2aba-44bb-b2ea-ae1872222bcc: Sackin index -0.1191; 0.5 s; peak memory 158 MiB.
2026-09-25T00:18:38Z INFO [33/381] 1420b59b-f723-4d2e-8012-1e9e8e8eff34: Sackin index -0.0369; 1.3 s; peak memory 158 MiB.
2026-09-25T00:18:39Z INFO [34/381] 14210b38-a30b-47b1-8b1b-f7905a39eeea: Sackin index -0.1135; 0.5 s; peak memory 158 MiB.
2026-09-25T00:18:40Z INFO [35/381] 14210ce1-83ce-4e32-be97-64d4bfdb705d: Sackin index -0.1117; 0.7 s; peak memory 158 MiB.
2026-09-25T00:21:30Z INFO [36/381] 14211320-b91f-4dac-af94-b62a1814478e: Sackin index -0.0269; 170.0 s; peak memory 400 MiB.
2026-09-25T00:21:30Z INFO [37/381] 142154bf-072a-4c6e-92bc-33b6b31367d5: Sackin index -0.1349; 0.6 s; peak memory 400 MiB.
2026-09-25T00:21:31Z INFO [38/381] 1421b1f7-ecef-4930-8a85-e1f4c4e9a6da: Sackin index -0.1349; 0.6 s; peak memory 400 MiB.
2026-09-25T00:21:32Z INFO [39/381] 1421e59e-b276-45fb-9c35-96eb9aeb0a32: Sackin index -0.0991; 0.9 s; peak memory 400 MiB.
2026-09-25T00:21:33Z INFO [40/381] 142236c6-913f-4016-878d-e2a317e7e607: Sackin index -0.1602; 0.8 s; peak memory 400 MiB.
2026-09-25T00:21:35Z INFO [41/381] 1422d6ff-410f-4470-aa64-4c2ee12e6b1f: Sackin index -0.0255; 2.3 s; peak memory 400 MiB.
2026-09-25T00:21:36Z INFO [42/381] 1422eb3e-4bf2-42aa-ae0f-043615a6c4c8: Sackin index -0.0704; 1.7 s; peak memory 400 MiB.
2026-09-25T00:21:37Z INFO [43/381] 14238621-745a-4d5c-8f1a-4e341b1d8f5c: Sackin index -0.0728; 0.8 s; peak memory 400 MiB.
2026-09-25T00:21:38Z INFO [44/381] 1424bff1-1ac1-4e48-9e81-4428d68a80b2: Sackin index -0.1191; 0.6 s; peak memory 400 MiB.
2026-09-25T00:21:38Z INFO [45/381] 1425ac25-b42d-4fa0-b713-2a67011449f5: Sackin index -0.1178; 0.5 s; peak memory 400 MiB.
2026-09-25T00:21:40Z INFO [46/381] 1425d8d9-fd35-4488-933a-e76e0a7d3784: Sackin index -0.0660; 1.7 s; peak memory 400 MiB.
2026-09-25T00:21:41Z INFO [47/381] 14265deb-889d-489b-8738-397d842804a1: Sackin index -0.0369; 0.9 s; peak memory 400 MiB.
2026-09-25T00:21:42Z INFO [48/381] 1429063a-d901-4e59-b906-87c44e6f1216: Sackin index -0.1349; 0.7 s; peak memory 400 MiB.
2026-09-25T00:21:43Z INFO [49/381] 14293146-1521-481f-aaa0-0d4941ce6ee4: Sackin index -0.0369; 1.4 s; peak memory 400 MiB.
2026-09-25T00:21:44Z INFO [50/381] 14293adc-218b-4330-8098-27ddeff26dda: Sackin index -0.0728; 0.8 s; peak memory 400 MiB.
2026-09-25T00:21:44Z INFO [50/381] 14293adc-218b-4330-8098-27ddeff26dda: checkpointed 56579 records.
2026-09-25T00:21:45Z INFO [51/381] 1429b483-42eb-46f2-9c72-ba51074d14d7: Sackin index -0.0702; 0.7 s; peak memory 400 MiB.
2026-09-25T00:21:45Z INFO [52/381] 1429cec2-903f-4af0-856f-5c8726e1c8e6: Sackin index -0.0709; 0.7 s; peak memory 400 MiB.
2026-09-25T00:21:59Z INFO [53/381] 142a2883-0f91-4a69-914a-0487eba12ecf: Sackin index -0.1367; 14.3 s; peak memory 400 MiB.
2026-09-25T00:22:00Z INFO [54/381] 142ad108-c964-4a69-a569-7ff5ac2fa97d: Sackin index -0.0702; 0.7 s; peak memory 400 MiB.
2026-09-25T00:22:04Z INFO [55/381] 142bb2b1-a2da-461f-b88f-476870fecd76: Sackin index -0.0476; 4.1 s; peak memory 400 MiB.
2026-09-25T00:22:08Z INFO [56/381] 142c56bf-4334-4a73-94f5-87b4f6804371: Sackin index -0.0251; 3.5 s; peak memory 400 MiB.
2026-09-25T00:22:09Z INFO [57/381] 142c7041-d201-4884-b01c-8fce9dc6d127: Sackin index -0.0379; 0.8 s; peak memory 400 MiB.
2026-09-25T00:22:09Z INFO [58/381] 142c7634-d740-48fc-88d8-7975826416ff: Sackin index -0.1239; 0.5 s; peak memory 400 MiB.
