2026-09-25T11:14:34Z INFO Logging to /tmp/logs/update_2026-09-25T11-14-34Z.log.
2026-09-25T11:14:34Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-25T11:14:35Z INFO Processing 381 items (56910 already recorded).
2026-09-25T11:14:47Z INFO [1/381] 0067cb5b-7fee-42a2-b9ef-088496361431: Sackin index -0.1069; 12.2 s; peak memory 114 MiB.
2026-09-25T11:15:00Z INFO [2/381] 0a070021-3e71-4aed-857d-f083620feb92: Sackin index -0.0878; 13.2 s; peak memory 119 MiB.
2026-09-25T11:15:01Z INFO [3/381] 14cf7874-3ff7-484b-bab4-88f6b5cec289: Sackin index -0.1461; 1.2 s; peak memory 119 MiB.
2026-09-25T11:15:03Z INFO [4/381] 14cfc249-c943-4417-a279-98bbfb6d9a19: Sackin index -0.0382; 1.5 s; peak memory 120 MiB.
2026-09-25T11:15:21Z INFO [5/381] 14d09d83-d61b-4389-911a-c760259cc4e5: Sackin index -0.0152; 18.8 s; peak memory 153 MiB.
2026-09-25T11:15:22Z INFO [6/381] 14d1bd68-717d-490b-8019-6a8b420998fa: Sackin index -0.2168; 0.9 s; peak memory 153 MiB.
2026-09-25T11:15:24Z INFO [7/381] 14d252fd-cfd6-4733-b915-f494cc19fc53: Sackin index -0.0434; 1.9 s; peak memory 153 MiB.
2026-09-25T11:15:26Z INFO [8/381] 14d277f2-29ac-4344-b788-6dc9aab1e7a7: Sackin index -0.1291; 2.0 s; peak memory 154 MiB.
2026-09-25T11:15:27Z INFO [9/381] 14d29f34-507b-41b7-af35-1221ff412229: Sackin index -0.0723; 1.2 s; peak memory 154 MiB.
2026-09-25T11:15:29Z INFO [10/381] 14d40b73-fa98-4c11-b22c-26e74460757b: Sackin index -0.0490; 2.0 s; peak memory 154 MiB.
2026-09-25T11:15:31Z INFO [11/381] 14d4965b-40e4-436f-adfd-94000360559b: Sackin index -0.0728; 1.8 s; peak memory 154 MiB.
2026-09-25T11:15:32Z INFO [12/381] 14d5961f-31b8-4921-b814-911f04fcd925: Sackin index -0.1349; 1.3 s; peak memory 154 MiB.
2026-09-25T11:15:41Z INFO [13/381] 14d5b597-16b0-483e-a323-cf22eeca56d6: Sackin index -0.0022; 8.1 s; peak memory 267 MiB.
