2026-09-25T16:37:40Z INFO Logging to /tmp/logs/update_2026-09-25T16-37-40Z.log.
2026-09-25T16:37:40Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-25T16:37:40Z INFO Processing 367 items (57291 already recorded).
2026-09-25T16:37:42Z INFO [1/367] 15935a7e-db89-4cee-96f0-b3f8d13bca38: Sackin index -0.1349; 1.7 s; peak memory 99 MiB.
2026-09-25T16:37:43Z INFO [2/367] 1593c542-a196-4956-956d-fd424e21bc40: Sackin index -0.1349; 1.5 s; peak memory 99 MiB.
2026-09-25T16:37:45Z INFO [3/367] 159413ce-417d-45ac-a342-82ef03bcaf8e: Sackin index -0.1383; 1.9 s; peak memory 101 MiB.
2026-09-25T16:37:46Z INFO [4/367] 15945566-cd24-49f0-b113-7331c6092018: Sackin index -0.1248; 1.5 s; peak memory 101 MiB.
2026-09-25T16:37:48Z INFO [5/367] 15948900-c46d-4692-9e68-5b4ff68e194b: Sackin index -0.0382; 2.0 s; peak memory 103 MiB.
2026-09-25T16:37:51Z INFO [6/367] 1594d265-4961-41e1-93f0-dcaaf1388924: Sackin index -0.0745; 2.3 s; peak memory 106 MiB.
2026-09-25T16:38:10Z INFO [7/367] 1595b681-22a1-41df-b963-6807f5a01d57: Sackin index -0.0159; 19.4 s; peak memory 147 MiB.
2026-09-25T16:38:12Z INFO [8/367] 1595d053-06d2-467a-a4de-3bd3fb46b87b: Sackin index -0.0728; 1.9 s; peak memory 147 MiB.
2026-09-25T16:38:27Z INFO [9/367] 1595ec93-3780-4381-99ed-f3983324b8ab: Sackin index -0.0152; 14.5 s; peak memory 148 MiB.
2026-09-25T16:38:28Z INFO [10/367] 1595ee58-187e-4a0b-a410-37c0e599776c: Sackin index -0.1349; 1.5 s; peak memory 148 MiB.
2026-09-25T16:38:30Z INFO [11/367] 1596d34d-57d7-46bc-a3e7-adcef943cb15: Sackin index -0.0369; 1.9 s; peak memory 148 MiB.
