2026-09-26T00:23:18Z INFO Logging to /tmp/logs/update_2026-09-26T00-23-18Z.log.
2026-09-26T00:23:18Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-26T00:23:18Z INFO Processing 364 items (57658 already recorded).
2026-09-26T00:23:20Z INFO [1/364] 166289b1-1841-471f-8b1b-cc6ffe4f0657: Sackin index -0.0384; 1.8 s; peak memory 101 MiB.
2026-09-26T00:23:21Z INFO [2/364] 166300cb-dcc4-4590-970f-1ce18be0bfe0: Sackin index -0.1349; 1.3 s; peak memory 102 MiB.
2026-09-26T00:23:22Z INFO [3/364] 16634c60-411d-4a71-8dcf-e1cf22276c88: Sackin index -0.1349; 1.3 s; peak memory 102 MiB.
2026-09-26T00:23:25Z INFO [4/364] 16669c01-7775-4408-8c26-12372b8ce80b: Sackin index -0.0593; 2.9 s; peak memory 107 MiB.
2026-09-26T00:23:27Z INFO [5/364] 16669ea7-db7b-469f-ab81-b30e9465ded8: Sackin index -0.0745; 1.8 s; peak memory 107 MiB.
2026-09-26T00:23:29Z INFO [6/364] 1666c000-1ef5-48da-ad71-91ce33c035ed: Sackin index -0.0375; 1.8 s; peak memory 108 MiB.
2026-09-26T00:23:31Z INFO [7/364] 16671267-1c7e-490f-a0cc-71c6784ff0b3: Sackin index -0.0728; 1.9 s; peak memory 108 MiB.
2026-09-26T00:23:32Z INFO [8/364] 166745c6-b2ab-4897-ba07-03e19445b8f9: Sackin index -0.1349; 1.3 s; peak memory 108 MiB.
2026-09-26T00:23:52Z INFO [9/364] 1667d2d5-2ea2-4782-b660-d405f40db54b: Sackin index -0.1367; 20.2 s; peak memory 122 MiB.
2026-09-26T00:23:53Z INFO [10/364] 16680492-9d06-4f07-9246-4cf213a95ff6: Sackin index -0.1349; 1.2 s; peak memory 122 MiB.
2026-09-26T00:23:56Z INFO [11/364] 1668acb4-4418-46a4-ae92-1f6b92d0e7a7: Sackin index -0.0272; 2.3 s; peak memory 122 MiB.
2026-09-26T00:23:57Z INFO [12/364] 1668e390-c2e4-4d97-92a8-f15559fad84a: Sackin index -0.0702; 1.6 s; peak memory 122 MiB.
2026-09-26T00:24:00Z INFO [13/364] 1668e946-7db6-4bef-83a2-6bf52dcd6a79: Sackin index -0.0870; 3.0 s; peak memory 122 MiB.
2026-09-26T00:24:07Z INFO [14/364] 166978b0-4e8d-42fc-8d13-b324898e9843: Sackin index -0.0476; 6.7 s; peak memory 122 MiB.
2026-09-26T00:24:08Z INFO [15/364] 166a26b4-0c47-498b-bafc-085ceb704438: Sackin index -0.1349; 1.2 s; peak memory 122 MiB.
2026-09-26T00:24:10Z INFO [16/364] 166a3a13-7620-463f-8292-f2d68ffd2fbe: Sackin index -0.0375; 1.7 s; peak memory 122 MiB.
2026-09-26T00:24:12Z INFO [17/364] 166c3323-9f5b-44d8-9229-352a5611443f: Sackin index -0.0728; 2.0 s; peak memory 122 MiB.
2026-09-26T00:24:15Z INFO [18/364] 166c47e2-27e2-4743-a356-b7266ec54e47: Sackin index -0.0518; 3.5 s; peak memory 122 MiB.
2026-09-26T00:24:17Z INFO [19/364] 166cdc45-9c67-4395-a0ba-ab53281ba89e: Sackin index -0.0376; 1.8 s; peak memory 122 MiB.
2026-09-26T00:24:18Z INFO [20/364] 166dc103-936e-4f4f-8c61-c16b0bc1cccb: Sackin index -0.1349; 1.3 s; peak memory 122 MiB.
