2026-09-26T15:51:36Z INFO Logging to /tmp/logs/update_2026-09-26T15-51-36Z.log.
2026-09-26T15:51:36Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-26T15:51:36Z INFO Processing 363 items (58406 already recorded).
2026-09-26T15:51:40Z INFO [1/363] 17e23efc-7a25-4ca8-93e4-e0bdb22ae5bd: Sackin index -0.0797; 4.1 s; peak memory 103 MiB.
2026-09-26T15:51:47Z INFO [2/363] 17e32568-6e1e-4367-a749-dd91d5aea64b: Sackin index -0.0403; 6.1 s; peak memory 109 MiB.
2026-09-26T15:51:48Z INFO [3/363] 17e3b116-2eea-474d-a46e-7c6d386551e4: Sackin index -0.1349; 1.3 s; peak memory 109 MiB.
2026-09-26T15:51:49Z INFO [4/363] 17e3d3d8-8310-495e-a2ed-0dfd43347969: Sackin index -0.1349; 1.3 s; peak memory 109 MiB.
2026-09-26T15:51:50Z INFO [5/363] 17e41d93-d32c-47c1-a074-3f0cd38cd9c0: Sackin index -0.1349; 1.3 s; peak memory 109 MiB.
2026-09-26T15:51:53Z INFO [6/363] 17e4cd0c-f266-43c5-a366-fac76c9fd407: Sackin index -0.1187; 2.4 s; peak memory 110 MiB.
2026-09-26T15:51:55Z INFO [7/363] 17e54b5e-59ef-491e-bf24-95f4d30606b3: Sackin index -0.0376; 1.8 s; peak memory 110 MiB.
2026-09-26T15:52:08Z INFO [8/363] 17e55d2f-0dba-4949-b09d-407c559ac95b: Sackin index -0.0210; 13.1 s; peak memory 129 MiB.
2026-09-26T15:52:32Z INFO [9/363] 17e5a46e-44b3-4631-8bd5-ab81ede2648b: Sackin index -0.1367; 24.1 s; peak memory 135 MiB.
2026-09-26T15:52:33Z INFO [10/363] 17e6481c-814d-454d-8eff-6aa80e5c35b8: Sackin index -0.0896; 1.6 s; peak memory 135 MiB.
2026-09-26T15:52:37Z INFO [11/363] 17e76508-9056-4264-92ad-42b3d7d18818: Sackin index -0.0718; 3.8 s; peak memory 135 MiB.
2026-09-26T15:52:44Z INFO [12/363] 17e84773-8af2-481e-b364-4d45a8dc2b16: Sackin index -0.0226; 6.6 s; peak memory 135 MiB.
2026-09-26T15:52:45Z INFO [13/363] 17e9612c-7e4d-4798-8a73-2408aff29329: Sackin index -0.1349; 1.3 s; peak memory 135 MiB.
2026-09-26T15:52:48Z INFO [14/363] 17e9b4cc-05a6-4fa5-8b32-33f5764b1958: Sackin index -0.1938; 2.9 s; peak memory 135 MiB.
2026-09-26T15:52:50Z INFO [15/363] 17ea0980-62f1-4322-a743-94b2e6babd6c: Sackin index -0.0728; 1.6 s; peak memory 135 MiB.
2026-09-26T15:52:51Z INFO [16/363] 17ea1b97-28d3-4f20-957c-3ad1f2b64f89: Sackin index -0.1349; 1.2 s; peak memory 135 MiB.
2026-09-26T15:52:53Z INFO [17/363] 17ea460e-80cc-42e5-b54d-eca30bc58ee7: Sackin index -0.0728; 1.8 s; peak memory 135 MiB.
2026-09-26T15:52:54Z INFO [18/363] 17eaa56b-0773-4bc2-9a41-e534d9a88541: Sackin index -0.1248; 1.3 s; peak memory 135 MiB.
2026-09-26T15:52:56Z INFO [19/363] 17eab803-cfb2-47e3-8809-42b95911c17e: Sackin index -0.0881; 1.6 s; peak memory 135 MiB.
2026-09-26T15:52:57Z INFO [20/363] 17eadca4-56fe-4b9c-bb96-7cc1ce6375bd: Sackin index -0.0696; 1.6 s; peak memory 135 MiB.
2026-09-26T15:52:59Z INFO [21/363] 17eb0b52-ba81-4400-b941-d0628960bf2b: Sackin index -0.0702; 1.5 s; peak memory 135 MiB.
2026-09-26T15:53:01Z INFO [22/363] 17ebb57e-48e9-401c-9aa6-7aefe4986d2c: Sackin index -0.0376; 1.8 s; peak memory 135 MiB.
2026-09-26T15:53:02Z INFO [23/363] 17ec19d2-a575-49b5-81bb-ba43cbcc7223: Sackin index -0.0746; 1.9 s; peak memory 135 MiB.
2026-09-26T15:53:06Z INFO [24/363] 17ec775f-7f37-4b0f-a561-bf9dc5a8c60a: Sackin index -0.0790; 3.8 s; peak memory 135 MiB.
2026-09-26T15:53:08Z INFO [25/363] 17ed5895-6cb1-43da-a9e5-942d231fed18: Sackin index -0.1349; 1.3 s; peak memory 135 MiB.
